#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Hello!
	+ and choose to not receive\n
	+ messages from this channel or\n
	+ from all channels.\040
  212c	= You've received a friend invitation\n
	+ from a Mario Kart Wii player!\n
	+ \n
	+ ◆Name\n
	+ %ls\n
	+ \n
	+ ◆Friend Code\n
	+ %04d-%04d-%04d\n
	+ \n
	+ If you register each other's friend \n
	+ codes, you can play together.\n
	+ \n
	+ Players who have Mario Kart Wii and\n
	+ have installed the Mario Kart\n
	+ Channel can register each other \n
	+ right away.\n
	+ \n
	+ Those who haven't can send each\n
	+ other replies.
  212d	= You've received a response to\n
	+ the friend invitation you sent\n
	+ to %ls!\n
	+ \n
	+ Mario Kart Wii Friend Code:\n
	+ %04d-%04d-%04d\n
	+ \n
	+ ＊If there's room on your friend\n
	+ roster, this friend code will\n
	+ be registered automatically.\n
	+ \n
	+ If you register each other's\n
	+ friend codes, you can play\n
	+ together, no matter how far\n
	+ apart you are.\n
	+ \n
	+ Have fun!\n
	+ \n
  212e	/
  212f	/
  2130	/
  2131	/
  2132	/
  2133	/
  2134	/
  2138	/
  2139	/
  213e	/
  213f	/
  2140	/
  2141	/
  2142	/
  2143	/
  2144	/
  2145	/
  2146	/
  2147	/
  2148	/
  2149	/
  214a	/
  214b	/
  214c	/
  214d	/
  214e	/
  214f	/
  2150	/
  2151	/
  2152	/
  215c	/
  215d	/
  215e	/
  215f	/
  2160	/
  2161	/
  2162	/
  2163	/
  2164	/
  2165	/
  2166	/
  2167	/
  2168	/
  2169	/
  216a	/
  216b	/
  216c	/
  216d	/
  216e	/
  216f	/
  2170	/
  2171	/
  2172	/
  2173	/
  2174	/
  2175	/
  2176	/
  2177	/

  2710  = c01 Name
  2711  = c02 Name
  2712  = c03 Name
  2713  = c04 Name
  2714  = c05 Name
  2715  = c06 Name
  2716  = c07 Name
  2717  = c08 Name
  2718  = c09 Name
  2719  = c10 Name
  271A  = c11 Name
  271B  = c12 Name
  271C  = c13 Name
  271D  = c14 Name
  271E  = c15 Name
  271F  = c16 Name
  2720  = c17 Name
  2721  = c18 Name
  2722  = c19 Name
  2723  = c20 Name
  2724  = c21 Name
  2725  = c22 Name
  2726  = c23 Name
  2727  = c24 Name
  2728  = c25 Name
  2729  = c26 Name
  272A  = c27 Name
  272B  = c28 Name
  272C  = c29 Name
  272D  = c30 Name
  272E  = c31 Name
  272F  = c32 Name
  2730  = c33 Name
  2731  = c34 Name
  2732  = c35 Name
  2733  = c36 Name
  2734  = c37 Name
  2735  = c38 Name
  2736  = c39 Name
  2737  = c40 Name
  2738  = c41 Name
  2739  = c42 Name
  273A  = c43 Name
  273B  = c44 Name
  273C  = c45 Name
  273D  = c46 Name
  273E  = c47 Name
  273F  = c48 Name
  2740  = c49 Name
  2774	= The first tournament has begun. Race\n
	+ other vehicles for the fastest time!\n
	+ You can repeat this challenge as\n
	+ many times as you'd like!

  27d8  = Time Trial
  27d9  = VS Race
  27da  = Time Trial
  27db  = Enemy Score
  27dc  = Boss Battle
  27dd  = Boss VS Race
  27de  = Coin Challenge
  27df  = Gate Challenge

  27e8  = \z{a02,1000000001}
  27e9  = \z{a02,1000000001} 

  27f0  = Tournaments
  27f1  = Random
  27f2  = 

  2800  = Your rank will not be saved. Do you\n
        + want to use this controller?

 18697	/
 18698	/
 18699	/
 1869a	/
 1869b	/
 1869c	/
 1869d	/
 1869e	/

