#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= 안녕하세요!
	+ Wi-Fi 커넥션을 이용할 때\n
	+ ・Mii와 닉네임\n
	+ ・기록과 고스트\n
	+ 를 닌텐도에 자동으로 보내도록\n
	+ 하였습니다.\n
	+ 이러한 정보는\n
	+ 「마리오 카트 Wii」를 즐기는\n
	+ 다른 유저가 볼 수도 있습니다.
  1cea	= 닌텐도에 정보를 송신하도록\n
	+ 허락하겠습니까?
  1ceb	= 허락한다
  1cec	= 허락하지 않는다
  1ced	= 「마리오 카트 Wii」에서\n
	+ 닌텐도에 정보 송신을\n
	+ \n
	+ ［ 허락한다 ］\n
	+ \n
	+  로 설정했습니다.
  1cee	= 「마리오 카트 Wii」에서\n
	+ Wi-Fi 커넥션을 이용할 수\n
	+ 없게 돼도 괜찮겠습니까?
  1cef	= 「마리오 카트 Wii」에서\n
	+ 닌텐도에 정보 송신을\n
	+ \n
	+ ［ 허락하지 않는다 ］\n
	+ \n
	+  로 설정했습니다.
  1cf0	= Mii 닉네임에 본명이나\n
	+ 개인 정보를 사용하고 있다면\n
	+ 사생활을 지키기 위해\n
	+ 다음과 같은 방법으로\n
	+ Mii의 정보를 변경해 주십시오.\n
	+ ・「Mii 채널」에서 닉네임 변경\n
	+ ・「라이센스 설정」에서 게스트\n
	+   Mii로 변경
  1cf1	= 
  1d4c	= 다른 사람의 Mii
  1d4d	= 「마리오 카트 Wii」에서는\n
	+ 다른 사람의 Mii가\n
	+ Wi-Fi 대전 중이나 랭킹 등에\n
	+ 나타나기도 합니다.\n
	+ \n
	+ 다른 사람의 Mii를\n
	+ 그대로 등장시킬지 여부를\n
	+ 설정할 수 있습니다.
  1d4e	= 「마리오 카트 Wii」에서\n
	+ 다른 사람의 Mii를\n
	+ 그대로 등장시키겠습니까?
  1d4f	= 그대로 등장
  1d50	= 바꿔서 등장
  1d51	= 「마리오 카트 Wii」에서\n
	+ 다른 사람의 Mii를\n
	+ \n
	+ ［ 그대로 등장 ］\n
	+ \n
	+  으로 설정했습니다.
  1d52	= 「마리오 카트 Wii」에서\n
	+ 다른 사람의 Mii를\n
	+ \n
	+ ［ 바꿔서 등장 ］\n
	+ \n
	+  으로 설정했습니다.
  1d53	= 다른 사람의 Mii를\n
	+ 닌텐도가 만든 Mii로\n
	+ 바꾸겠습니까?
  1d54	/
  1db0	/
  1db1	/
  1db2	/
  1db3	/
  1db4	/
  1db5	/
  1e14	= Mario Kart Wii can be displayed in\n
	+ 60Hz (480i) Mode. Your current setting is\n
	+ 50Hz (576i) Mode. If your TV - like most TV\n
	+ models - supports 60Hz Mode, please select\n
	+ this TV Type in the Wii System Settings for\n
	+ a better display quality.\n
	+ \n
	+ To change your TV Type setting to 60Hz Mode, \n
	+ please press the HOME Button and go to\n
	+ the Wii Menu.
  1e15	= \z{e03,0,f035003cf034003c}
  1e16	= CONGRATULATIONS!
  1e17	= 이번 기념 사진을\n
	+ Wii 알림판에 보내겠습니까?
  1e18	= Wii 알림판에 보내고 있습니다.
  1e19	= 기념 사진을\n
	+ Wii 알림판에 보냈습니다!
  1e1a	= 기념 사진을 너무 많이 보내면\n
	+ Wii 알림판의 데이터가\n
	+ 가득 차 버립니다.\n
	+ 주의해 주십시오.\n
	+ \n
	+ Wii 알림판이 가득 차면\n
	+ 오래된 메시지부터 삭제됩니다.
  1e1b	= 앞으로도 변함없이\n
	+ \n
	+ 「마리오 카트 Wii」를\n
	+ \n
	+ 즐겨 주세요!
  1f40	= 축하합니다!\n
	+ 다음의 컵이 열렸습니다!\n
	+ 「\z{802,110000} \z{802,110001}」
  1f41	= 축하합니다!\n
	+ 다음의 모드가 열렸습니다!\n
	+ 「미러 모드」
  1f42	= 축하합니다!\n
	+ 다음의 캐릭터가 등장했습니다!\n
	+ \z{802,110000}
  1f43	= 축하합니다!\n
	+ 다음의 레이싱복이 등장했습니다!\n
	+ \z{802,110000}
  1f44	= 축하합니다!\n
	+ 다음의 카트가 등장했습니다!\n
	+ \z{802,110000}(소형 카트)
  1f45	= 축하합니다!\n
	+ 다음의 카트가 등장했습니다!\n
	+ \z{802,110000}(중형 카트)
  1f46	= 축하합니다!\n
	+ 다음의 카트가 등장했습니다!\n
	+ \z{802,110000}(대형 카트)
  1f47	= 축하합니다!\n
	+ 다음의 바이크가 등장했습니다!\n
	+ \z{802,110000}(소형 바이크)
  1f48	= 축하합니다!\n
	+ 다음의 바이크가 등장했습니다!\n
	+ \z{802,110000}(중형 바이크)
  1f49	= 축하합니다!\n
	+ 다음의 바이크가 등장했습니다!\n
	+ \z{802,110000}(대형 바이크)
  1f4a	= 축하합니다!\n
	+ 다음의 모드가 열렸습니다!\n
	+ 50cc 그랑프리(카트＆바이크)
  1f4b	= 축하합니다!\n
	+ 다음의 모드가 열렸습니다!\n
	+ 100cc 그랑프리(카트＆바이크)
  1f4c	/
  1fa4	= \z{802,110000} 버섯 컵＆플라워 컵에서 트로피 획득!
  1fa5	= \z{802,110000} 스타 컵에서 트로피 획득!
  1fa6	= \z{802,110000} 등껍질 컵＆바나나 컵에서 트로피 획득!
  1fa7	= \z{802,110000} 리프 컵에서 트로피 획득!
  1fa8	= 150cc 모든 컵 제패!
  1fa9	/
  1fae	= 100cc 리프 컵 우승!
  1faf	= 모든 코스에서 타임 어택 플레이!
  1fb0	= Wi-Fi 대전 1000승 돌파!
  1fb1	= 50cc Wii 그랑프리 모든 컵에서 랭크\u{f061} 획득!
  1fb2	= 개발자의 빠른 고스트 8개 등장!
  1fb3	= 50cc 번개 컵 우승!
  1fb4	= 100cc 레트로 그랑프리 모든 컵에서 랭크\u{f061} 획득!
  1fb5	= 150cc 스페셜 컵 우승!
  1fb6	= 16코스에서 타임 어택 플레이!
  1fb7	= 미러 모든 컵에서 랭크\u{f061} 획득!
  1fb8	= 「슈퍼 마리오 Wii」가 보낸 선물!
  1fb9	= 150cc Wii 그랑프리 모든 컵에서 랭크\u{f061} 획득!
  1fba	= 개발자의 빠른 고스트 4개 등장!
  1fbb	= 고스트 배틀 25승 돌파!
  1fbc	= 50cc 스타 컵 우승!
  1fbd	= 100cc 스페셜 컵 우승!
  1fbe	= 개발자의 빠른 고스트 32개 등장!
  1fbf	= Wi-Fi 대전 5000승 돌파!
  1fc0	= 고스트 배틀 100승 돌파!
  1fc1	= Wi-Fi 대전 250승 돌파!
  1fc2	/
  1fcc	= 50cc 레트로 그랑프리 모든 컵에서 랭크\u{f061} 획득!
  1fcd	= 개발자의 빠른 고스트 1개 등장!
  1fce	= Wi-Fi 대전 50승 돌파!
  1fcf	= 미러 번개 컵 우승!
  1fd0	= 50cc 리프 컵 우승!
  1fd1	= 150cc 리프 컵 우승!
  1fd2	= 개발자의 빠른 고스트 24개 등장!
  1fd3	= 50cc 스페셜 컵 우승!
  1fd4	= 150cc 레트로 그랑프리 모든 컵에서 랭크\u{f061} 획득!
  1fd5	= 150cc 번개 컵 우승!
  1fd6	= 150cc 스타 컵 우승!
  1fd7	= 8코스에서 타임 어택 플레이!
  1fd8	= 고스트 배틀 5승 돌파!
  1fd9	= 미러 리프 컵 우승!
  1fda	= 100cc 번개 컵 우승!
  1fdb	= 100cc Wii 그랑프리 모든 컵에서 랭크\u{f061} 획득!
  1fdc	= 미러 스타 컵 우승!
  1fdd	= 100cc 스타 컵 우승!
  1fde	= 개발자의 빠른 고스트 12개 등장!
  1fdf	= 고스트 배틀 200승 돌파!
  1fe0	= 미러 스페셜 컵 우승!
  1fe1	= 50cc 모든 컵에서 트로피 획득!
  1fe2	= 100cc 모든 컵에서 트로피 획득!
  1fe3	= Wi-Fi 대전 3000승 돌파!
  1fe4	= 플레이 횟수 \z{a02,1000000000}번 돌파!
  1fe5	/
  2008	= 전체 기록
  2009	= 즐겨 찾는 기록
  200a	= 친구와의 기록
  200b	= Wi-Fi 기록
  200c	= 그 밖의 기록
  2012	= 종합 랭크
  2013	= 주행 거리
  2014	= 총 레이스 횟수
  2015	= 총 배틀 횟수
  2016	= Wii 핸들 사용률
  2017	= 점프 액션 횟수
  2018	= 즐겨 사용하는 캐릭터
  2019	= 즐겨 사용하는 머신
  201a	= 즐겨 달리는 코스
  201b	= 즐겨 달리는 스테이지
  201c	= Wi-Fi 친구와의 전적
  201d	/
  201e	= 고스트 도전장을 보낸 횟수
  201f	= 고스트 도전장을 받은 횟수
  2020	= VS 레이팅(VR)
  2021	= Wi-Fi VS 전적
  2022	= 배틀 레이팅(BR)
  2023	= Wi-Fi 배틀 전적
  2024	= 1위를 기록한 횟수
  2025	= 1위로 달린 비율
  2026	= 아이템을 맞힌 횟수
  2027	= 아이템에 맞은 횟수
  2028	= 고스트 배틀 전적
  2029	= 대회에 참가한 횟수
  202a	/
  202b	/
  202c	/
  202d	/
  202e	/
  2044	= \z{802,110000}
  2045	= \z{a02,1000000000}
  2046	= \z{a02,1000000000}번
  2047	= \z{a02,1000000000}번
  2048	= \z{a02,1000000000}%
  2049	= \z{a02,1000000000}번
  204a	= \z{802,110000}
  204b	= \z{802,110000}
  204c	= \z{802,110000}
  204d	= \z{802,110000}
  204e	= \z{a02,1000000000}승 \z{a02,1000010000}패
  204f	/
  2050	= \z{a02,1000000000}번
  2051	= \z{a02,1000000000}번
  2052	= \z{a02,1000000000}VR
  2053	= \z{a02,1000000000}승 \z{a02,1000010000}패
  2054	= \z{a02,1000000000}BR
  2055	= \z{a02,1000000000}승 \z{a02,1000010000}패
  2056	= \z{a02,1000000000}번
  2057	= \z{a02,1000000000}%
  2058	= \z{a02,1000000000}번
  2059	= \z{a02,1000000000}번
  205a	= \z{a02,1000000000}승 \z{a02,1000010000}패
  205b	= \z{a02,1000000000}번
  205c	/
  20d0	/
  20d1	/
  20d2	/
  20d3	/
  20d4	/
  20d5	= %ls 님\n
	+ \n
	+ 축하합니다!\n
	+ 모든 컵의 트로피를\n
	+ 보기 좋게 제패했습니다!\n
	+ \n
	+ 당신을 축하하는 의미에서\n
	+ 기념 사진을 보내드립니다.\n
	+ \n
	+ 앞으로도 변함없이\n
	+ 『마리오 카트 Wii』를 즐겨 주세요!
  20d6	= %ls 님\n
	+ \n
	+ 축하합니다!\n
	+ 모든 클래스의 그랑프리를\n
	+ 보기 좋게 제패했습니다!\n
	+ \n
	+ 축하하는 의미에서\n
	+ 기념 사진을 보내드립니다.\n
	+ \n
	+ 앞으로도 변함없이\n
	+ 『마리오 카트 Wii』를 즐겨 주세요!
  20d7	/
  20d8	/
  20d9	/
  20da	/
  20db	/
  20dc	/
  20dd	/
  20de	/
  20df	/
  20e0	/
  20e1	/
  20e2	/
  20e3	/
  20e4	/
  20e5	/
  20e6	/
  20e7	/
  20e8	/
  20e9	/
  20ea	/
  20eb	/
  20ec	/
  20ed	/
  20ee	/
  20f8	/
  20f9	/
  20fa	/
  20fb	/
  20fc	/
  20fd	/
  20fe	/
  20ff	/
  2100	/
  2101	/
  2102	/
  2103	/
  2104	/
  2105	/
  2106	/
  2107	/
  2108	/
  2109	/
  210a	/
  210b	/
  210c	/
  210d	/
  210e	= 「100cc 그랑프리」(카트＆바이크)가\n
	+ 열렸습니다!\n
	+ \n
	+ %ls 님이\n
	+ 「100cc 모든 컵」에서\n
	+ 트로피를 획득한 결과입니다!\n
	+ \n
	+ 축하합니다!
  210f	/
  2110	/
  2116	/
  2117	/
  2118	/
  2119	/
  211a	/
  211b	/
  211c	/
  211d	/
  211e	/
  211f	/
  2120	/
  2121	/
  2122	/
  2123	/
  2124	/
  2125	/
  2126	/
  212a	= 『마리오 카트 채널』에서\n
	+ 알려드립니다.\n
	+ \n
	+ \z{802,200000}\n
	+ \n
	+ \n
	+ \n
	+ 【수신을 거부하려면】\n
	+ \n
	+ 이 정보는 『마리오 카트 채널』이\n
	+ 보내드리고 있습니다. \n
	+ 이후, 정보를 받지 않으려면\n
	+ 화면 오른쪽 위에 있는 수신 거부\n
	+ 버튼을 포인트하고 A를 눌러\n
	+ 이 채널에서 보내는 정보 수신을\n
	+ 거부할지, 모든 정보 수신을\n
	+ 거부할지를 선택해 주십시오.
  212b	= 『마리오 카트 채널』에서\n
	+ 알려드립니다.\n
	+ \n
	+ \z{802,200000}\n
	+ \n
	+ \n
	+ \n
	+ 【수신을 거부하려면】\n
	+ \n
	+ 이 정보는 『마리오 카트 채널』이\n
	+ 보내드리고 있습니다.\n
	+ 이후, 정보를 받지 않으려면\n
	+ 화면 오른쪽 위에 있는 수신 거부\n
	+ 버튼을 포인트하고 A를 눌러\n
	+ 이 채널에서 보내는 정보 수신을\n
	+ 거부할지 모든 정보 수신을\n
	+ 거부할지를 선택해 주십시오.
  212c	= %ls 님으로부터\n
	+ 「친구 등록」 초대\n
	+ 편지가 도착했습니다!\n
	+ \n
	+ 『마리오 카트 Wii』\n
	+ 친구 코드：%04d-%04d-%04d\n
	+ \n
	+ 친구 코드를 서로 등록하면\n
	+ 멀리 떨어져 있어도\n
	+ 함께 『마리오 카트 Wii』를\n
	+ 즐길 수 있게 됩니다.\n
	+ \n
	+ 새로운 세계로 어서 오세요!
  212d	= %ls 님에게서\n
	+ 「친구 등록」에 대한\n
	+ 답변이 도착했습니다!\n
	+ \n
	+ 『마리오 카트 Wii』\n
	+ 친구 코드：%04d-%04d-%04d\n
	+ \n
	+ ＊친구 목록에 빈 공간이 있으면\n
	+ 　자동으로 등록됩니다.\n
	+ \n
	+ 친구 코드를 서로 등록하면\n
	+ 멀리 떨어져 있어도\n
	+ 함께 『마리오 카트 Wii』를\n
	+ 즐길 수 있게 됩니다.\n
	+ \n
	+ 새로운 세계로 어서 오세요!
  212e	/
  212f	/
  2130	/
  2131	/
  2132	/
  2133	/
  2134	/
  2138	/
  2139	/
  213e	/
  213f	/
  2140	/
  2141	/
  2142	/
  2143	/
  2144	/
  2145	/
  2146	/
  2147	/
  2148	/
  2149	/
  214a	/
  214b	/
  214c	/
  214d	/
  214e	/
  214f	/
  2150	/
  2151	/
  2152	/
  215c	/
  215d	/
  215e	/
  215f	/
  2160	/
  2161	/
  2162	/
  2163	/
  2164	/
  2165	/
  2166	/
  2167	/
  2168	/
  2169	/
  216a	/
  216b	/
  216c	/
  216d	/
  216e	/
  216f	/
  2170	/
  2171	/
  2172	/
  2173	/
  2174	/
  2175	/
  2176	/
  2177	/
  2260	= 
  2261	= 
  2262	= 
  2263	/
  2274	= 
  2275	/
  227e	= 
  227f	= 
  2280	= 
  2281	= 
  2282	= 
  2283	= 
  2284	= 
  2285	= 
  2286	= 
  2287	/
  2292	= 
  2293	= 
  2294	= 
  2295	= 
  2296	/
  229c	= 
  229d	/

2774 = 마리오카트 Wii 대회에 오신\n것을 환영합니다! 마리오\n서킷에서 VS 레이스로 최고\n기록에 도전해 보세요. 횟수\n제한 없이 여러 번 시도할 수 있습니다!
27a2 = 카트만 사용하여 마리오 서킷에서 VS\n레이스로 다른 11명의 레이서에\n대항하여 경주하세요! Wii 핸들을\n사용하며 횟수 제한 없이\n시도 가능합니다!
2775 = GBA 배틀 코스3에서 게이트를\n순서대로 통과하세요. Wii 핸들로만\n참가 가능합니다. 2D 맵을 잘\n보고 재빠르게 게이트를 통과하세요.
2777 = 버섯 캐니언을 역주행하는\n타임 어택입니다.\n카트만 참가 가능한 대회입니다.\n바이크는 참가할 수\n없으므로 주의하세요.
2778 = 코코넛 몰 여기저기에 흩어져 있는\n코인을 모아 주세요.\n코인은 손님이 흘리고 간\n걸까요?! 재빨리 주워 주세요. 
2779 = 어둠이 깔려 있는 DS 어두컴COME!을\n무대로 대회가 개최됩니다.\n이번 대회는 Wii 핸들로만 참가\n가능합니다! 화려한 실력을 뽐내 보세요.
277a = 64 DK 정글 파크를 무대로 정글에서\n인기 최고인 동키콩과 디디콩이\n바이크를 타고 바나나를 던집니다.\n바나나를 잘 피하며 골인해 주세요.
277b = 파란 바다가 펼쳐져 있는\n엉금엉금 케이프에서 게이트를\n순서대로 통과하세요. 게이트 번호를\n잘 보고 꼭 순서대로 통과해 주세요.
277c = 이번 대회는 64 마천루에서 펼쳐지는\n타임 어택입니다. 아이템 박스는\n폭탄병카 사이를 뚫고 획득 하세요.\nWii 핸들로만 참가 가능합니다.
277d = SFC 마리오 서킷3에 일렬로\n늘어선코인을 모아 주세요.\n카트만 참가 가능합니다. 좋은 기록은\n어디에서 대시버섯을\n쓰느냐에 달려 있습니다.
277e = 거대선인이 쿵쿵사막을 지배했습니다!\n공격을 피하고 거대선인을 3번\n공격해서 물리치세요!
277f = 루이지 서킷에서 카트와 Wii\n핸들로만 참가하는 대회가 개최됩니다.\n이번 대회에는 아이템박스가\n없습니다! 앞서 가는 카트의\n뒤를 쫓아가면 발동되는 슬립\n스트림을 잘 활용하며 상위\n입상을 위해 달려 주세요.
2780 = 단풍나무 로드에서 낙엽 속에 숨어\n있는 코인을 모아 주세요. 꽃충이도\n코인을 좋아한다고요!?\n부딪히지 않도록 조심하세요.
2781 = 64 마리오 서킷에서 열리는 타임\n어택입니다. 이번에 등장하는\n아이템은 단 하나, 황금대시버섯!\n아이템을 이용하면 코스 곳곳을\n가로질러 갈 수 있습니다.\n가고 싶은 길로 마음껏 달려보세요!
2782 = 와리오 광산에 꽃충이가 등장!\n꽃충이가 당신의 길목을\n방해하겠지만 타임 어택임을 명심하세요.\n꽃충이를 제치면 금방이고 다시\n쫓아오려고 하므로, 뒤에 따라고\n있지는 않은지 확인하며 달려주세요.
2783 = DK 스노보드 경기장에서 게이트를\n순서대로 통과하세요. 하늘에 떠 있는\n게이트가 승부처입니다! 점프\n액션으로 멋지게 통과해보세요.
2784 = 키노피오 팩토리를 역주행하는 타임\n어택입니다. 넘어가기 힘든\n곳에서는 점프 액션을 펼쳐 보세요.
2785 = 펑키 스타디움에 흩어져 있는 코인을\n모두 모아 주세요. 코인을 모으는\n순서가 포인트 입니다. 2D 맵을\n확인하며 짧은 동선을 생각해보세요.
2786 = 미로처럼 복잡한 블록 광장을 3바퀴\n도는 타임 어택입니다. 여러 갈래의\n길 중에서 자신만의\n길을 찾아 달려 보세요.
2787 = GBA 쿠파 성3에서 게이트를 순서대로\n통과하세요. 점프대 앞에서 멋진\n점프 액션을 뽐내는 것도 잊지 마세요.\n카트만 참가 가능한 대회입니다.
2788 = SFC 배틀 코스4에서 코인 모으기 대회를\n개최 중입니다. 미로 같은 코스에서\n어떤 길로 달리는 게 가장 빠를까요?
2789 = 좀비쿠파가 내뿜는 불꽃에 주의하며\n골을 향하세요. 64 쿠파 성을 무대로\n펼쳐지는 타임 어택입니다.\n본 대회는 카트 전용입니다.
27a3 = 64 쿠파 성을 무대로 펼쳐지는 타임\n어택입니다. 좀비쿠파가 내뿜는\n불꽃에 주의하며 골을 향하세요. 
278a = GC 와루이지 스타디움에서 게이트\n통과하기 대회를 개최 중! 대담하고\n와일드한 점프 액션으로 스타디움의\n모두를 놀래 주세요.
278b = 멍멍이와 쪼르뚜가 잔뜩 등장하는\nDS 피치 가든을 달려 보세요!\n대시버섯은 멍멍이가 갖고 있습니다.\n대시버섯으로 최고 기록을 세워 보세요.
278c = 해가 지고 있는 루이지 서킷에\n폭탄병카가?! 루이지 서킷에서\n레이스를 하면서 폭탄병카를\n건드리지 않도록 조심하세요!
278d = 멍멍이 룰렛에 흩어져 있는 모든 코인을\n모아 주세요. 아이템을 잘 활용하면\n깔끔하게 모을 수 있습니다.\n참고로 Wii 핸들로만 참가\n가능한 대회입니다.
278e = 이글이글 화산을 역주행하는 타임\n어택으로 카트만 참가 가능!\n코스에 새로 점프대를 설치했습니다.\n여기에서 멋지게 점프 액션을\n성공시켜 주세요.
2776 = 슈퍼 마리오 Wii 갤럭시 어드벤처의\n가시팽이가 등장했습니다! 최대한\n빨리 모든 가시팽이를 스테이지\n바깥으로 떨어트리세요!\n\n\c{green}(본 대회는 재현된 대회입니다.)\c{off}
278f = 슈퍼 마리오 Wii 갤럭시 어드벤처의\n가시팽이가 등장했습니다! 바깥쪽부터\n스테이지가 무너져 내리므로\n떨어지지 않도록 주의하며\n가시팽이를 쓰러뜨려 주세요.
27a4 = 슈퍼 마리오 Wii 갤럭시 어드벤처에\n나왔단 가시팽이가 이번에는 마리오\n카트 Wii 대회에 등장합니다!\n가시팽이 중에는 도망가는 녀석도\n있다고 합니다. 스테이지 바깥으로\n전부 떨어트려서 이기세요.
2790 = GC 피치 비치에 흩어져 있는\n모든 코인을 모아 주세요.\n코인을 지키는 날꽃을 피해\n재빨리 모아 주세요.
2791 = DS 요시 폭포에 버섯들이 자라났습니다.\n이 Wii 핸들 한정 레이스에서\n떨어지지 않도록 노력해주세요!
2792 = 평소 평화롭던 헤이호 비치에\n갑자기등장한 게 군단! 여러\n아이템을 준비해 두었으니 잘\n사용해서 쓰러뜨려 주세요.
2793 = 크핫핫핫핫! 나는 쿠파다. 내 성에 더 많은\n함정과 장치를 설치해 놓았다.\n너희 겁 · 쟁 · 이 중에 3바퀴를 무사히\n통과하는 녀석이 있을까? 아마 없을테지.
2794 = 바이크 전용 레이스가 GC 쿠키\n랜드에서 개최됩니다.\n바이크를 탄 베이비들과\n함께 경쟁하세요!\n갈림길이 승패를 좌우합니다!
2795 = GC 마리오 서킷에 적이 한가득?!\n평소보다는 조금 어려운 타임 어택입니다.\n특히 뻐끔플라워를 조심하세요.\n스릴 만점의 대회가 될 것입니다.
2796 = 8자 모양의 데이지 서킷 코스에 있는\n게이트를 순서대로 통과하세요.\n화려한 드리프트 실력도\n관객에게 뽐내 보세요.
2797 = 매마른 유적에서 레이스가\n펼쳐집니다.이번 레이스에서는\n여러 종류의 대시버섯만 제공됩니다.\n선인들이 어디서 쓰면 좋을지\n알려줄거에요!
2798 = 멍멍이로 가득한 무지개 로드에서\n카트만 참가하는 타임 어택을\n개최합니다. 멍멍이의 진로를 잘\n읽는 것이 이번 대회\n공략의 핵심입니다.
2799 = DS 썬썬 사막 여기서기에 있는 선인을\n쓰러뜨려 주세요. 이번 대회는\n쓰러뜨린 선인의 수를 겨루는\n대회입니다. 좋은 기록을 내는\n경기가 아니므로 주의해 주세요.
279a = 미로 같은 아쿠아 리조트에서 타임\n어택이 펼쳐집니다. 이번에는\n길 찾기가 관건입니다. 평소와는\n다른 길을 찾아보세요.
279b = GC DK 마운틴에서 게이트를\n순서대로 통과하세요.\nWii 핸들로만 참가 가능합니다.\n게이트를 통과할 때의 짜릿한\n맛을 느껴 보세요.
279c = 이번 대회는 64 샤베트 랜드에서\n펼쳐집니다. 귀여운 펭귄이 평소보다\n많지만 한눈을 팔면 아차!\n라이벌에게 뒤쳐지고 말아요.
279d = 마리오 서킷에 있는 굼바를\n쓰러뜨리며 나아가세요.\n코스 내에 있는 모든\n아이템을 잘 활용해보세요.\n카트만 참가 가능한 대회입니다.
279e = 루이지 서킷에서 바이크와 Wii 핸들로만\n참가 가능한 대회가 펼쳐집니다.\n특히 이번 대회는 아이템이 없기 때문에\n스피드만으로 진정한 승부를 겨룰 수\n있습니다. 슬립 스트림 등 모든\n테크닉을 구사하여 1위를 노려 보세요.
279f = GC 피치 비치에 버섯이\n자라났다?! 트램펄린 버섯을 타고\n3바퀴를 도는 타임어택을 개최 중입니다.\n수동 드리프트를 좋아하는 분도\n우선 자동 드리프트를 추천드립니다.
27a0 = 달맞이 하이웨이에서 타임 어택을 개최\n중입니다. 차의 움직임이 평소와는\n다르다구요?! 꼬리를 물고 다가오는\n차들을 과연 끝까지 피할 수 있을까요?
27a1 = DS몬테 타운에서 타임\n어택을 개최중입니다.\n나무상자와 굼바를 조심하세요.\n막다른 길도 있으니까 조심하시구요!

27f0 = 대회
27d8 = 타임 어택
27da = 타임 어택
27d9 = VS 레이스
27db = 적 퇴치
27dc = 보스 배틀
27dd = 보스 VS 레이스
27de = 코인 모으기 챌린지
27df = 게이트 통과 챌린지

27f1 = 대회 #%02d
2800 = 해당 컨트롤러를 사용할 시\n기록이 저장되지 않습니다.\n계속하시겠습니까?
2801 = 고스트 데이터 저장
2802 = SD카드에 고스트 데이터를 저장할까요?
2803 = 항상 저장
2804 = 최단 기록만 저장
2805 = 저장 안 함
2806 = 고스트 데이터 저장 방식이\n[ 항상 저장 ]\n으로 설정되었습니다.\n\n고스트 데이터는 Riivolution\n사용시에만 저장됩니다.\n
2807 = 고스트 데이터 저장 방식이\n[ 최단 기록만 저장 ]\n으로 설정되었습니다.\n\n고스트 데이터는 Riivolution\n사용시에만 저장됩니다.\n
2808 = 고스트 데이터 저장 방식이\n[ 저장 안 함 ]\n으로 설정되었습니다.\n\n고스트 데이터는 Riivolution\n사용시에만 저장됩니다.

 18697	/
 18698	/
 18699	/
 1869a	/
 1869b	/
 1869c	/
 1869d	/
 1869e	/

