#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Ciao!
	+ foto nella bacheca Wii: potresti\n
	+ esaurire lo spazio a disposizione.\n
	+ \n
	+ Se la bacheca Wii dovesse riempirsi,\n
	+ i messaggi più vecchi verranno\n
	+ cancellati per creare nuovo spazio.
  1e1b	= Grazie per aver giocato!\n
	+ \n
	+ Continua a divertirti\n
	+ con Mario Kart Wii!
  1f40	= Congratulazioni!\n
	+ Ora è disponibile il\n
	+ \z{802,110001} \z{802,110000}!
  1f41	= Congratulazioni!\n
	+ Hai sbloccato la\n
	+ modalità Speculare!
  1f42	= Congratulazioni!\n
	+ Ora puoi selezionare \z{802,110000}\n
	+ per giocare!
  1f43	= Congratulazioni!\n
	+ Ora puoi selezionare \z{802,110000}\n
	+ per giocare!
  1f44	= Congratulazioni!\n
	+ Hai sbloccato un nuovo kart piccolo!\n
	+ \n
	+ \z{802,110000}
  1f45	= Congratulazioni!\n
	+ Hai sbloccato un nuovo kart medio!\n
	+ \n
	+ \z{802,110000}
  1f46	= Congratulazioni!\n
	+ Hai sbloccato un nuovo kart grande!\n
	+ \n
	+ \z{802,110000}
  1f47	= Congratulazioni!\n
	+ Hai sbloccato una nuova motocicletta piccola!\n
	+ \n
	+ \z{802,110000}
  1f48	= Congratulazioni!\n
	+ Hai sbloccato una nuova motocicletta media!\n
	+ \n
	+ \z{802,110000}
  1f49	= Congratulazioni!\n
	+ Hai sbloccato una nuova motocicletta grande!\n
	+ \n
	+ \z{802,110000}
  1f4a	= Congratulazioni!\n
	+ Ora puoi giocare i Gran premi\n
	+ a 50cc con kart e moto!
  1f4b	= Congratulazioni!\n
	+ Ora puoi giocare i Gran premi\n
	+ a 100cc con kart e moto!
  1f4c	/
  1fa4	= Hai vinto coppe nel Trofeo Fungo e nel Trofeo Fiore \z{802,110000}!
  1fa5	= Hai vinto una coppa nel Trofeo Stella \z{802,110000}!
  1fa6	= Hai vinto coppe nel Trofeo Guscio e nel Trofeo Banana \z{802,110000}!
  1fa7	= Hai vinto una coppa nel Trofeo Foglia \z{802,110000}!
  1fa8	= Hai vinto tutti i trofei 150cc!
  1fa9	/
  1fae	= Hai vinto il Trofeo Foglia 100cc!
  1faf	= Hai corso su tutti i percorsi in modalità Prova a tempo!
  1fb0	= Hai vinto 1000 volte nella Nintendo WFC!
  1fb1	= Hai ottenuto un voto \u{f061} in tutti i trofei Wii 50cc!
  1fb2	= Hai sbloccato 8 super fantasmi dello staff!
  1fb3	= Hai vinto il Trofeo Fulmine 50cc!
  1fb4	= Hai ottenuto un voto \u{f061} in tutti i trofei classici 100cc!
  1fb5	= Hai vinto il Trofeo Speciale 150cc!
  1fb6	= Hai corso su 16 percorsi in modalità Prova a tempo!
  1fb7	= Hai ottenuto un voto \u{f061} in tutti i trofei speculari!
  1fb8	= Hai ricevuto un regalo da Super Mario Galaxy!
  1fb9	= Hai ottenuto un voto \u{f061} in tutti i trofei Wii 150cc!
  1fba	= Hai sbloccato 4 super fantasmi dello staff!
  1fbb	= Hai vinto 25 Corse fantasma!
  1fbc	= Hai vinto il Trofeo Stella 50cc!
  1fbd	= Hai vinto il Trofeo Speciale 100cc!
  1fbe	= Hai sbloccato tutti i 32 super fantasmi dello staff!
  1fbf	= Hai vinto 5000 volte nella Nintendo WFC!
  1fc0	= Hai vinto 100 Corse fantasma!
  1fc1	= Hai vinto 250 volte nella Nintendo WFC!
  1fc2	/
  1fcc	= Hai ottenuto un voto \u{f061} in tutti i trofei classici 50cc!
  1fcd	= Hai sbloccato un super fantasma dello staff!
  1fce	= Hai vinto 50 volte nella Nintendo WFC!
  1fcf	= Hai vinto il Trofeo Fulmine Speculare!
  1fd0	= Hai vinto il Trofeo Foglia 50cc!
  1fd1	= Hai vinto il Trofeo Foglia 150cc!
  1fd2	= Hai sbloccato 24 super fantasmi dello staff!
  1fd3	= Hai vinto il Trofeo Speciale 50cc!
  1fd4	= Hai ottenuto un voto \u{f061} in tutti i trofei classici 150cc!
  1fd5	= Hai vinto il Trofeo Fulmine 150cc!
  1fd6	= Hai vinto il Trofeo Stella 150cc!
  1fd7	= Hai corso su 8 percorsi in modalità Prova a tempo!
  1fd8	= Hai vinto 5 Corse fantasma!
  1fd9	= Hai vinto il Trofeo Foglia Speculare!
  1fda	= Hai vinto il Trofeo Fulmine 100cc!
  1fdb	= Hai ottenuto un voto \u{f061} in tutti i trofei Wii 100cc!
  1fdc	= Hai vinto il Trofeo Stella Speculare!
  1fdd	= Hai vinto il Trofeo Stella 100cc!
  1fde	= Hai sbloccato 12 super fantasmi dello staff!
  1fdf	= Hai vinto 200 Corse fantasma!
  1fe0	= Hai vinto il Trofeo Speciale Speculare!
  1fe1	= Hai vinto coppe in tutti i trofei 50cc!
  1fe2	= Hai vinto coppe in tutti i trofei 100cc!
  1fe3	= Hai vinto 3000 volte nella Nintendo WFC!
  1fe4	= Hai giocato a Mario Kart Wii \z{a02,1000000000} volte!
  1fe5	/
  2008	= Record complessivi
  2009	= Preferiti
  200a	= Record amici
  200b	= Record Nintendo WFC
  200c	= Altri record
  2012	= Voto complessivo
  2013	= Distanza percorsa
  2014	= Totale corse
  2015	= Totale battaglie
  2016	= Uso Wii Wheel (%)
  2017	= Totale acrobazie
  2018	= Personaggio preferito
  2019	= Veicolo preferito
  201a	= Percorso preferito
  201b	= Livello preferito
  201c	= Record amici Nintendo WFC
  201d	/
  201e	= Sfide dati fantasma inviate
  201f	= Sfide dati fantasma ricevute
  2020	= Punti Corsa
  2021	= Corse sfida
  2022	= Punti Battaglia
  2023	= Battaglie
  2024	= Totale primi posti
  2025	= Tempo al primo posto (%)
  2026	= Colpi oggetto sferrati
  2027	= Colpi oggetto subiti
  2028	= Corse fantasma
  2029	= Partecipazioni a eventi
  202a	/
  202b	/
  202c	/
  202d	/
  202e	/
  2044	= \z{802,110000}
  2045	= \z{a02,1000000000}
  2046	= \z{a02,1000000000}
  2047	= \z{a02,1000000000}
  2048	= \z{a02,1000000000}
  2049	= \z{a02,1000000000}
  204a	= \z{802,110000}
  204b	= \z{802,110000}
  204c	= \z{802,110000}
  204d	= \z{802,110000}
  204e	= Vittorie: \z{a02,1000000000}   Sconfitte: \z{a02,1000010000}
  204f	/
  2050	= \z{a02,1000000000}
  2051	= \z{a02,1000000000}
  2052	= \z{a02,1000000000}
  2053	= Vittorie: \z{a02,1000000000}   Sconfitte: \z{a02,1000010000}
  2054	= \z{a02,1000000000}
  2055	= Vittorie: \z{a02,1000000000}   Sconfitte: \z{a02,1000010000}
  2056	= \z{a02,1000000000}
  2057	= \z{a02,1000000000}
  2058	= \z{a02,1000000000}
  2059	= \z{a02,1000000000}
  205a	= Vittorie: \z{a02,1000000000}   Sconfitte: \z{a02,1000010000}
  205b	= \z{a02,1000000000}
  205c	/
  20d0	/
  20d1	/
  20d2	/
  20d3	/
  20d4	/
  20d5	= Congratulazioni,\n
	+ %ls!\n
	+ \n
	+ Hai raggiunto il podio in tutti i trofei!\n
	+ Per commemorare questo risultato,\n
	+ ti offriamo questa foto ricordo.\n
	+ Ti ringraziamo per aver giocato\n
	+ a Mario Kart Wii e ci auguriamo\n
	+ di regalarti ancora tanto divertimento!
  20d6	= Congratulazioni,\n
	+ %ls!\n
	+ \n
	+ Hai vinto tutti i trofei di Mario Kart\n
	+ Wii! Per celebrare questo risultato,\n
	+ ti offriamo questa foto ricordo.\n
	+ Ti ringraziamo per aver giocato\n
	+ a Mario Kart Wii e ci auguriamo di\n
	+ regalarti ancora tanto divertimento!
  20d7	/
  20d8	/
  20d9	/
  20da	/
  20db	/
  20dc	/
  20dd	/
  20de	/
  20df	/
  20e0	/
  20e1	/
  20e2	/
  20e3	/
  20e4	/
  20e5	/
  20e6	/
  20e7	/
  20e8	/
  20e9	/
  20ea	/
  20eb	/
  20ec	/
  20ed	/
  20ee	/
  20f8	/
  20f9	/
  20fa	/
  20fb	/
  20fc	/
  20fd	/
  20fe	/
  20ff	/
  2100	/
  2101	/
  2102	/
  2103	/
  2104	/
  2105	/
  2106	/
  2107	/
  2108	/
  2109	/
  210a	/
  210b	/
  210c	/
  210d	/
  210e	= Congratulazioni, %ls!\n
	+ \n
	+ Come premio per aver raggiunto il\n
	+ podio in tutti i trofei a 100cc, adesso\n
	+ è disponibile una nuova classe:\n
	+ \n
	+ 100 cc (kart e moto)
  210f	/
  2110	/
  2116	/
  2117	/
  2118	/
  2119	/
  211a	/
  211b	/
  211c	/
  211d	/
  211e	/
  211f	/
  2120	/
  2121	/
  2122	/
  2123	/
  2124	/
  2125	/
  2126	/
  212a	= Questa è una notifica del\n
	+ Canale Mario Kart\n
	+ \n
	+ \z{802,200000}\n
	+ \n
	+ \n
	+ \n
	+ Se non desideri ricevere altri\n
	+ messaggi promozionali da Nintendo,\n
	+ seleziona l'icona Rinuncia nell'angolo\n
	+ in alto a destra dello schermo.\n
	+ \n
	+ Puoi scegliere se rinunciare (1) solo\n
	+ al servizio informazioni del Canale\n
	+ Mario Kart o (2) a quelli di tutti\n
	+ i canali e di tutti i giochi.
  212b	= Questa è una notifica del\n
	+ Canale Mario Kart\n
	+ \n
	+ \z{802,200000}\n
	+ \n
	+ \n
	+ \n
	+ Se non desideri ricevere altri\n
	+ messaggi promozionali da Nintendo,\n
	+ seleziona l'icona Rinuncia nell'angolo\n
	+ in alto a destra dello schermo.\n
	+ \n
	+ Puoi scegliere se rinunciare (1) solo\n
	+ al servizio informazioni del Canale\n
	+ Mario Kart o (2) a quelli di tutti\n
	+ i canali e di tutti i giochi.
  212c	= Hai ricevuto un invito a diventare\n
	+ amici da %ls!\n
	+ \n
	+ Codice amico di Mario Kart Wii:\n
	+ %04d-%04d-%04d\n
	+ \n
	+ Registrando a vicenda i vostri\n
	+ codici amico, potrete giocare\n
	+ insieme a Mario Kart Wii nella\n
	+ Nintendo Wi-Fi Connection.\n
	+ \n
	+ Se possiedi Mario Kart Wii e hai\n
	+ installato il Canale Mario Kart nel\n
	+ tuo menu Wii, seleziona il pulsante\n
	+ Avvia che apparirà in basso a destra\n
	+ per confermare la registrazione\n
	+ del codice amico.\n
	+ \n
	+ Buon divertimento!
  212d	= %ls ha accettato\n
	+ il tuo invito a diventare amici!\n
	+ \n
	+ Codice amico di Mario Kart Wii:\n
	+ %04d-%04d-%04d\n
	+ \n
	+ Nel caso in cui tu abbia ancora\n
	+ spazio nella tua lista amici,\n
	+ la registrazione del codice amico\n
	+ verrà completata automaticamente.\n
	+ \n
	+ Se hai installato il Canale Mario Kart\n
	+ nel tuo menu Wii, seleziona il\n
	+ pulsante Avvia che apparirà in basso\n
	+ a destra per accedere al canale e\n
	+ verificare che la registrazione del\n
	+ codice amico sia andata a buon fine.\n
	+ \n
	+ Buon divertimento!
  212e	/
  212f	/
  2130	/
  2131	/
  2132	/
  2133	/
  2134	/
  2138	/
  2139	/
  213e	/
  213f	/
  2140	/
  2141	/
  2142	/
  2143	/
  2144	/
  2145	/
  2146	/
  2147	/
  2148	/
  2149	/
  214a	/
  214b	/
  214c	/
  214d	/
  214e	/
  214f	/
  2150	/
  2151	/
  2152	/
  215c	/
  215d	/
  215e	/
  215f	/
  2160	/
  2161	/
  2162	/
  2163	/
  2164	/
  2165	/
  2166	/
  2167	/
  2168	/
  2169	/
  216a	/
  216b	/
  216c	/
  216d	/
  216e	/
  216f	/
  2170	/
  2171	/
  2172	/
  2173	/
  2174	/
  2175	/
  2176	/
  2177	/

2774 = Benvenuto alla prima competizione\ndi Mario Kart Wii! Ottieni il miglior tempo\npossibile in una Corsa Sfida sul Circuito\ndi Mario. Puoi inviare\nquante prove desideri!
27a2 = Affronta altri 11 piloti in una Corsa Sfida\nper soli kart sul Circuito di Mario! Prova\nquante volte desideri e cerca di realizzare\nil tuo tempo migliore.\nPuoi partecipare a questo evento\nspeciale solo usando il Wii Wheel.
2775 = Attraversa in ordine tutti i cancelli\nnel livello GBA Percorso di guerra 3.\nLa mappa a schermo si rivelerà\nun aiuto preziosissimo!\nPuoi partecipare a questo evento\nsolo usando il Wii Wheel.
2777 = Affronta una Prova a tempo percorrendo\nla Gola Fungo in senso contrario.\nQuale sarà la strada più veloce?\nProvale tutte per scoprirlo!\nÈ un evento speciale per soli kart.
2778 = Alcuni sbadati clienti\ndell'Outlet Cocco stanno perdendo\nper strada i loro sudati risparmi.\nRaccogli in fretta tutte le monete!\nNaturalmente, al fine di restituirle\nai legittimi proprietari!
2779 = In questa Corsa sfida,\nsfreccerai tra le bizzarre ombre\ndel livello DS Casa crepuscolare!\nPuoi partecipare a questo evento\nsolo usando il Wii Wheel.
277a = Donkey Kong e Diddy Kong adorano\ndisseminare di banane il percorso N64\nViale Giungla di DK. \nSchivale e taglia il raguardo\nil più velocemente possibile!
277b = L'incantevole oceano azzurro\ndi Punta Koopa fa da cornice\na questo evento. Attraversa tutti\ni cancelli nell'ordine giusto e\nassicurati di non mancarne nessuno!
277c = Disputa una Prova a tempo sul livello\nN64 Grattacielo. Per realizzare tempi\nda record, usa gli oggetti raccolti\nzigzagando tra le auto Bob-omba!\nÈ un evento speciale solo per Wii Wheel.
277d = Raccogli tutte le monete accuratamente\ndisposte lungo il percorso SNES Circuito\ndi Mario 3. Per realizzare un buon tempo,\nusa i Funghi Scatto al momento giusto\ne non sprecarne nessuno!\nÈ un evento speciale per soli kart.
277e = Il Deserto Twomp è stato\ndominato da un Marghibruco gigante!\nEvita i suoi attacchi e sconfiggilo tre volte!
277f = Partecipa ad una Corsa Sfida sul Circuito\ndi Luigi, in cui potrai usare solo il Wii\nWheel e non avrai oggetti in aiuto. Sfrutta\nsapientemente le scie degli avversari\nper ottenere accelerazioni supplementari!\nÈ un evento speciale per soli kart.
2780 = Raccogli le monete\nnascoste nei cumuli di\nfoglie cadute sulla Pista degli Aceri,\nfacendo però attenzione ai Torcibruchi!
2781 = Affronta una Prova a Tempo sul percorso\nN64 Pista di Mario. Avrai a disposizione\nsolo Funghi Scatto dorati,\ncosì potrai provare\ntutte le scorciatoie che desideri!
2782 = Disputa una Prova a Tempo nella\nMiniera d'Oro di Wario, ma tieni gli occhi\naperti: un Torcibruco ci si è intrufolato e\ncercherà di ostacolarti!
2783 = È tempo di sport invernali alla Pista\nSnowboard DK! Centra nel giusto ordine\ntutti i cancelli ed esegui fantastiche\nacrobazie mentre attraversi\nquelli sospesi a mezz'aria!
2784 = Disputa una prova a tempo\nnella direzione opposta nella Fabbrica\ndi Toad. In alcuni posti dovrai eseguire\ndelle acrobazie\nse vuoi superare gli ostacoli.
2785 = Raccogli tutte le monete nello Stadio\nFunky! In un livello di tale ampiezza,\nè facile perder tempo girando a vuoto,\nperciò sfrutta la mappa a schermo per\npianificare una raccolta efficiente!
2786 = Disputa una Prova a tempo\nnella Piazza Blocchi.\nRiuscirai a scoprire la rotta più veloce per\ngirare dentro questo labirintico livello?
2787 = Attraversa in ordine tutti i cancelli nel\npercorso GBA Castello di Bowser 3.\nAlcuni cancelli sono sospesi in aria\ndi fronte a delle rampe: dimostra la\ntua bravura attraversandoli in acrobazia!\nÈ un evento speciale per soli kart.
2788 = Raccogli tutte le monete sparse per il\nlivello SNES Percorso di Guerra 4.\nIn questo vero e proprio labirinto,\ntrovare la strada più\nrapida non sarà affatto facile!
2789 = Affronta Skelobowser in una Corsa\nSfida uno contro uno sul percorso N64\nCastello di Bowser! Guardati dal suo\ntemibile soffio infuocato e punta\ndritto al traguardo!\nÈ un evento speciale per soli kart.
27a3 = Affronta Skelobowser in una Corsa\nsfida uno contro uno sul percorso\nN64 Castello di Bowser! Guardati\ndal suo temibile soffio infuocato\ne punta dritto al traguardo!
278a = Attraversa tutti i cancelli del percorso\nGCN Stadio di Waluigi! Manda le folle in\nvisibilio con strabilianti acrobazie,\nma senza mancare alcun cancello!
278b = Disputa una Prova a Tempo sul percorso\nDS Giardino di Peach, sempre più affollato\nda Tantatalpe e Categnacci randagi.\nPer fare il tempo migliore, i Funghi\nScatto attaccati in fondo alle catene dei\nCategnacci saranno fondamentali!
278c = Scende la sera sul Circuito di Luigi…\nE, per qualche strano motivo,\ndelle auto Bob-Omba girano per il\npercorso! Cerca di non saltare\nper aria in questa Corsa Sfida!
278d = Colpaccio alla Roulette Categnaccio!\nUsa saggiamente gli oggetti disponibili\nper raccogliere tutte le monete.\nÈ un evento speciale solo per Wii Wheel!
278e = Disputa una Prova a Tempo in direzione\nopposta nel Vulcano Brontolone.\nSe esegui delle acrobazie saltando sulle\nnuove rampe del circuito sarai più\nveloce  e avrai un tempo migliore.
2776 = Direttamente da Super Mario Galaxy, ecco\nle Robopunte! Falle cadere tutte quante\ngiù dal bordo dell'Arena Galaxy più in\nfretta che puoi!\n\n\c{green}(Questo evento è stato ricreato.)\c{off}
278f = Direttamente da Super Mario Galaxy, ecco\nle Robopunte! Falle cadere tutte quante\ngiù dal bordo dell'Arena Galaxy più in\nfretta che puoi, ma fa'\nattenzione a non cadere tu stesso,\nquando il livello inizierà a crollare!
27a4 = Direttamente da Super Mario Galaxy, ecco\nle Robopunte! Falle cadere tutte quante\ngiù dal bordo dell'Arena Galaxy più in\nfretta che puoi! Alcune tenteranno\ndi scappare, ma non permetterglielo!
2790 = Numerose monete sono state sparse\nsulle rive del percorso GCN Spiaggia di\nPeach. Evita i Catapaperi che\nle sorvegliano e raccoglile\ntutte al più presto!
2791 = Le cascate di Yoshi sono infestate\nda funghi trampolino! Usa il\nWii Wheel per percorrere il circuito\ne prova a non cadere!
2792 = Un'invasione di granchi impazziti\nha gettato nel caos il percorso\nGBA Spiaggia Tipo Timido! Metti\nKO i pestiferi crostacei servendoti\ndegli oggetti sparsi per il tracciato!
2793 = Bowser ha sfidato tutti i partecipanti\nad una Prova a tempo nel Castello di\nBowser. In questa occasione il circuito\nè ancora più difficile. Te la caverai? 
2794 = Sfida i piccoli corridori in una\ngara esclusivamente per bici in\nGCN Biscolandia. Scegliere la strada\ngiusta è la chiave per la vittoria!
2795 = Gareggia con una prova a tempo su\nGCN Circuito di Mario.\nQuesto percorso è reso ancora più\ndifficile con l' aggiunta di nemici extra.\nMantieni una linea di corsa serrata ed\nevita tutte quelle piante Piranha!
2796 = Una serie di cancelli sono stati piazzati\nintorno alla famosa "figura a otto" del\nCircuito di Daisy. Passa attraverso tutti i\ncancelli in ordine e mostra le tue abilità\nnelle curve agli spettatori della gara!
2797 = Una gara si sta svolgendo sulle\nsoleggiate e sabbiose Rovine Desertiche.\nL'unico oggetto a disposizione sono i\ndiversi tipi di Funghi Scatto. I Marghibruchi\npotrebbero mostrarti dove usarli.
2798 = Affronta una Prova a Tempo sulla Pista\nArcobaleno. Ci saranno Categnacci lungo\ntutto il percorso: studia i loro movimenti,\ncosì da poterli evitare accuratamente!\nÈ un evento speciale per soli kart.
2799 = Visita DS Deserto Picchiasol e sconfiggi i\nfastidiosi Marghibruchi più in frett che\npuoi! Non c'è un limite di giri, quindi puoi\ngirare per il percorso quante volte vuoi!
279a = Affronta una Prova a Tempo intorno a\nBorgo Delfino. Il trucco è trovare una via\nveloce nel percorso. Magari non è una\nbuona idea passare per\nstessa strada ogni giro...
279b = Passa dentro a tutti i cancelli in ordine su\nGCN Montagne di DK. Scendere dalla\nmontagna in carena è sempre stato\ndivertente, ma scattare tra i cancelli lo\nrende una bomba!\nÈ un evento speciale solo per Wii Wheel!
279c = N64 Circuito Gelato è il posto per una\nfredda Corsa Sfida. I pinguini sono venuti\na guardare la gara, ma non ti distrarre!\nConcentrati sul percorso\ne punta alla vittoria!
279d = Sconfiggi i Goomba su Circuito di Mario\npiù in fretta che puoi. Usando gli oggetti\nabilmente potrai migliorare il tuo tempo!\nÈ un evento speciale per soli kart.
279e = Prendi parte in una Corsa Sfida su\nCircuito di Luigi. Non ci sono oggetti che\nti potranno aiutare, quindi, se vuoi vincerla,\ndovrai stare dietro ai tuoi nemici e fare\nbuon uso della scia per prendere velocità!
279f = Il percorso GCN Spiaggia di Peach è\nstato infestato da Funghi trampolino!\nSaltellaci su per tre giri! Anche se\nabitualmente usi la modalità di derapata\nManuale, per questa Prova a tempo\ne consigliata quelle autom.
27a0 = Lanciati in una Prova a tempo\nsull'Autostrada lunare. Attenzione,\nperò: sembra che il traffico scorra\nin direzione diversa dal solito!
27a1 = Affronta una Prova a tempo nel\ntrambusto del percorso DS Borgo\nDelfino. Attento alle casse di legno,\nai Goomba e ai vicoli ciechi!

27f0 = Eventi speciali
27d8 = Prova a Tempo
27da = Prova a Tempo
27d9 = Corsa Sfida
27db = Punti del nemico
27dc = Battaglia Boss
27dd = Corsa Boss
27de = Sfida Monete
27df = Sfida Cancelli

27f1 = Evento %02d
27f2 = Museo degli Eventi
2800 = Il tuo rango non verrà salvato\nse utilizzerai questo controller.\nSei sicuro di voler continuare?
2801 = Salvando i Dati Fantasma
2802 = Vuoi salvare i Dati Fantasma sulla Scheda SD?
2803 = Salva sempre
2804 = Salva solo il tempo piú veloce
2805 = Non salvare
2806 = La funzione di salvataggio\ndei Dati Fantasma è stata impostata su:\nSalva sempre.\n\nI Dati Fantasma verranno salvati\nsoltanto se utilizzi Riivolution.
2807 = La funzione di salvataggio\ndei Dati Fantasma è stata impostata su:\nSalva solo il tempo più veloce.\n\nI Dati Fantasma verranno salvati\nsoltanto se utilizzi Riivolution.
2808 = La funzione di salvataggio\ndei Dati Fantasma è stata impostata su:\nNon salvare.\n\nI Dati Fantasma verranno salvati\nsoltanto se utilizzi Riivolution.

 18697	/
 18698	/
 18699	/
 1869a	/
 1869b	/
 1869c	/
 1869d	/
 1869e	/

