#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Hallo!
  1bbc	= GCN Controller Rumble
  1bbd	= Soll die Rumble-Funktion des\n
	+ Nintendo GameCube Controllers\n
	+ aktiviert werden?
  1bbe	= Ja
  1bbf	= Nein
  1bc0	= Die Rumble-Funktion des\n
	+ Nintendo GameCube Controllers\n
	+ wird aktiviert.
  1bc1	= Die Rumble-Funktion des\n
	+ Nintendo GameCube Controllers\n
	+ wird nicht aktiviert.
  1bc2	/
  1c20	= Regionseinstellung
  1c21	= Zurück zum Wii-Menü, um\n
	+ die Regionseinstellung\n
	+ zu ändern?
  1c22	/
  1c23	/
  1c24	/
  1c52	= Land/Region-Info
  1c53	= Mario Kart Wii kann deine Landes-\n
	+ flagge und Region an folgenden\n
	+ Stellen anzeigen:\n
	+ - Globus-Position (Nintendo WFC)\n
	+ - Geistdaten\n
	+ Du kannst entscheiden, ob diese\n
	+ Informationen für andere Spieler,\n
	+ die via Nintendo Wi-Fi Connection\n
	+ verbunden sind, einsehbar sind.
  1c54	= Möchtest du, dass deine Landes-\n
	+ flagge und deine Region erkennbar\n
	+ sind, wenn du mit der Nintendo\n
	+ Wi-Fi Connection verbunden bist?
  1c55	= Ja
  1c56	= Nein
  1c57	= Deine Landesflagge und Regions-\n
	+ einstellung sind für andere\n
	+ einsehbar, während du mit der\n
	+ Nintendo Wi-Fi Connection\n
	+ verbunden bist.
  1c58	= Deine Landesflagge und Regions-\n
	+ einstellung sind für andere\n
	+ nicht einsehbar, während du mit\n
	+ der Nintendo Wi-Fi Connection\n
	+ verbunden bist.
  1c59	/
  1c84	= Info-Service
  1c85	= Tritt dem Info-Service bei, um via\n
	+ WiiConnect24 die neuesten Informa-\n
	+ tionen des Mario Kart-Kanals auf\n
	+ deiner Wii-Pinnwand zu erhalten über:\n
	+ - Wettbewerbsdaten\n
	+ - herunterladbare Spezial-\n
	+   Geistdaten\n
	+ Der Info-Service kann jederzeit\n
	+ abbestellt werden.
  1c86	= Möchtest du dem Info-\n
	+ Service des Mario Kart-\n
	+ Kanals beitreten?
  1c87	= Beitreten
  1c88	= Nicht beitreten
  1c89	= Diese Wii-Konsole ist dem Info-\n
	+ Service des Mario Kart-Kanals\n
	+ beigetreten und wird künftig die\n
	+ Nachrichten dieses Services\n
	+ erhalten.
  1c8a	= Soll diese Wii-Konsole \n
	+ keine Nachrichten vom Info-Service\n
	+ des Mario Kart-Kanals erhalten?
  1c8b	= 
  1cb6	= Diese Wii-Konsole ist dem Info-\n
	+ Service des Mario Kart-Kanals\n
	+ beigetreten und erhält Nachrichten\n
	+ dieses Services.
  1cb7	= Bitte wähle die gewünschten\n
	+ Info-Service-Einstellungen.
  1cb8	= Info-Service für den\n
	+ Mario Kart-Kanal abbestellen
  1cb9	= Info-Service für alle\n
	+ Kanäle abbestellen
  1cba	= Weiterhin Nachrichten zum\n
	+ Mario Kart-Kanal empfangen
  1cbb	= Den Info-Service des\n
	+ Mario Kart-Kanals abbestellen?
  1cbc	= Alle Info-Services abbestellen?
  1cbd	= Weiterhin Nachrichten des\n
	+ Mario Kart-Kanals empfangen.
  1cbe	= Du bist dem Info-Service des\n
	+ Mario Kart-Kanals nicht\n
	+ beigetreten.
  1cbf	= Der Info-Service\n
	+ des Mario Kart-Kanals\n
	+ wurde abbestellt.
  1cc0	= Der Info-Service aller\n
	+ Kanäle wurde abbestellt.
  1cc1	= 
  1ce8	= Datenfreigabe
  1ce9	= Spielst du Mario Kart Wii via\n
	+ Nintendo Wi-Fi Connection, werden\n
	+ automatisch folgende Daten an\n
	+ Nintendo gesendet:\n
	+ - dein Mii und Spitzname\n
	+ - deine Rekorde und Geistdaten\n
	+ \n
	+ Diese Daten können andere\n
	+ Spieler via Nintendo WFC einsehen.
  1cea	= Dürfen Daten an\n
	+ Nintendo gesendet werden?
  1ceb	= Ja
  1cec	= Nein
  1ced	= Du hast die Erlaubnis erteilt,\n
	+ dass Daten an Nintendo gesendet\n
	+ werden.
  1cee	= Du möchtest es nicht erlauben?\n
	+ In diesem Fall kannst du\n
	+ Mario Kart Wii nicht via\n
	+ Nintendo Wi-Fi Connection spielen.
  1cef	= Du hast nicht erlaubt, dass\n
	+ Daten an Nintendo gesendet\n
	+ werden.
  1cf0	= Zum Schutz deiner Privatsphäre solltest\n
	+ du vermeiden, dass der Spitzname deines\n
	+ Miis persönliche Informationen enthält,\n
	+ wie z. B. deinen echten Namen. Um dem\n
	+ nachzukommen, kannst du Folgendes tun:\n
	+ \n
	+ - Ändere den Mii-Namen im Mii-Kanal.\n
	+ - Wähle im Profil-Menü ein Gast-Mii.
  1cf1	= 
  1d4c	= Mii-Info
  1d4d	= Miis von Spielern aus der ganzen\n
	+ Welt werden unter anderem bei Rennen,\n
	+ Wettkämpfen, in Ranglistendaten\n
	+ während der Verbindung via Nintendo\n
	+ Wi-Fi Connection dargestellt.\n
	+ Du kannst entscheiden, ob diese\n
	+ Miis in Mario Kart Wii dargestellt\n
	+ werden oder ob sie von Nintendo-\n
	+ Miis ersetzt werden sollen.
  1d4e	= Sollen Miis in Mario Kart Wii\n
	+ dargestellt werden, die von\n
	+ anderen Spielern erstellt wurden?
  1d4f	= Ja
  1d50	= Nein
  1d51	= Miis, die von anderen Spielern\n
	+ erstellt wurden, dürfen in\n
	+ Mario Kart Wii dargestellt werden.
  1d52	= Es werden keine Miis in\n
	+ Mario Kart Wii dargestellt,\n
	+ die von anderen Spielern\n
	+ erstellt wurden.
  1d53	= Sollen Miis, die von anderen\n
	+ Spielern erstellt wurden durch\n
	+ Nintendo-Miis ersetzt werden?
  1d54	/
  1db0	/
  1db1	/
  1db2	/
  1db3	/
  1db4	/
  1db5	/
  1e14	= Mario Kart Wii lässt sich im\n
	+ 60Hz (480i)-Modus darstellen. Derzeit\n
	+ ist der 50Hz (576i)-Modus ausgewählt.\n
	+ Falls dein Fernsehgerät - wie die meisten\n
	+ gängigen Modelle - auch den 60Hz-Modus\n
	+ unterstützt, wähle bitte diesen Typ in den\n
	+ Wii-Systemeinstellungen aus, um eine\n
	+ bessere Darstellung zu erzielen.\n
	+ \n
	+ Möchtest du für dein Fernsehgerät den\n
	+ 60Hz-Modus auswählen, drücke den\n
	+ HOME-Knopf und rufe das Wii-Menü auf.\040
  1e15	= \z{e03,0,f035003cf034003c}
  1e16	= GLÜCKWUNSCH!
  1e17	= Möchtest du ein\n
	+ Erinnerungsfoto an die\n
	+ Wii-Pinnwand heften?
  1e18	= Anheften...
  1e19	= Das Erinnerungsfoto wurde\n
	+ an die Wii-Pinnwand geheftet.
  1e1a	= Achte darauf, nicht zu viele\n
	+ Fotos an deine Wii-Pinnwand\n
	+ zu heften.\n
	+ Wenn kein Platz mehr auf deiner\n
	+ Wii-Pinnwand ist, werden ältere\n
	+ Nachrichten gelöscht, um Platz\n
	+ zu schaffen für neuere.
  1e1b	= Danke fürs Spielen!\n
	+ \n
	+ Weiterhin noch viel Spaß\n
	+ mit Mario Kart Wii!
  1f40	= Glückwunsch!\n
	+ Du hast \z{802,110001}, \z{802,110000}\n
	+ freigespielt!
  1f41	= Glückwunsch!\n
	+ Du hast eine neue Motorklasse\n
	+ freigespielt: Spiegel!
  1f42	= Glückwunsch!\n
	+ Du hast einen neuen Fahrer\n
	+ freigespielt: \z{802,110000}!
  1f43	= Glückwunsch!\n
	+ Du hast einen neuen Fahrer\n
	+ freigespielt: \z{802,110000}!
  1f44	= Glückwunsch!\n
	+ Du hast ein neues Kart (Leicht)\n
	+ freigespielt: \z{802,110000}!
  1f45	= Glückwunsch!\n
	+ Du hast ein neues Kart (Mittel)\n
	+ freigespielt: \z{802,110000}!
  1f46	= Glückwunsch!\n
	+ Du hast ein neues Kart (Schwer)\n
	+ freigespielt: \z{802,110000}!
  1f47	= Glückwunsch!\n
	+ Du hast ein neues Bike (Leicht)\n
	+ freigespielt: \z{802,110000}!
  1f48	= Glückwunsch!\n
	+ Du hast ein neues Bike (Mittel)\n
	+ freigespielt: \z{802,110000}!
  1f49	= Glückwunsch!\n
	+ Du hast ein neues Bike (Schwer)\n
	+ freigespielt: \z{802,110000}!
  1f4a	= Glückwunsch!\n
	+ Du hast den 50 ccm-Cup des Grand\n
	+ Prix (Karts/Bikes) freigespielt!
  1f4b	= Glückwunsch!\n
	+ Du hast den 100 ccm-Cup des Grand\n
	+ Prix (Karts/Bikes) freigespielt!
  1f4c	/
  1fa4	= Pokale im Pilz- und Blumen-Cup, \z{802,110000}!
  1fa5	= Ein Pokal im Stern-Cup, \z{802,110000}!
  1fa6	= Pokale im Panzer- und Bananen-Cup, \z{802,110000}!
  1fa7	= Ein Pokal im Blatt-Cup, \z{802,110000}!
  1fa8	= Sieg in allen 150 ccm-Cups!
  1fa9	/
  1fae	= Sieg im Blatt-Cup, 100 ccm!
  1faf	= Alle Kurse im Zeitfahren!
  1fb0	= 1 000 Siege in Nintendo WFC-Rennen!
  1fb1	= Rang \u{f061} in allen 50 ccm-Cups des Wii-Grand Prix!
  1fb2	= 8 Spitzengeistdaten der Entwickler im Zeitfahren!
  1fb3	= Sieg im Blitz-Cup, 50 ccm!
  1fb4	= Rang \u{f061} in allen 100 ccm-Cups des Retro-Grand Prix!
  1fb5	= Sieg im Spezial-Cup, 150 ccm!
  1fb6	= 16 verschiedene Kurse im Zeitfahren!
  1fb7	= Rang \u{f061} in allen Spiegel-Cups!
  1fb8	= Ein Geschenk aus Super Mario Galaxy!
  1fb9	= Rang \u{f061} in allen 150 ccm-Cups des Wii-Grand Prix!
  1fba	= 4 Spitzengeistdaten der Entwickler im Zeitfahren!
  1fbb	= 25 Siege in Geistrennen!
  1fbc	= Sieg im Stern-Cup, 50 ccm!
  1fbd	= Sieg im Spezial-Cup, 100 ccm!
  1fbe	= Alle 32 Spitzengeistdaten der Entwickler im Zeitfahren!
  1fbf	= 5 000 Siege in Nintendo WFC-Rennen!
  1fc0	= 100 Siege in Geistrennen!
  1fc1	= 250 Siege in Nintendo WFC-Rennen!
  1fc2	/
  1fcc	= Rang \u{f061} in allen 50 ccm-Cups des Retro-Grand Prix!
  1fcd	= Spitzengeistdaten eines Entwicklers im Zeitfahren!
  1fce	= 50 Siege in Nintendo WFC-Rennen!
  1fcf	= Sieg im Blitz-Cup, Spiegel!
  1fd0	= Sieg im Blatt-Cup, 50 ccm!
  1fd1	= Sieg im Blatt-Cup, 150 ccm!
  1fd2	= 24 Spitzengeistdaten der Entwickler im Zeitfahren!
  1fd3	= Sieg im Spezial-Cup, 50 ccm!
  1fd4	= Rang \u{f061} in allen 150 ccm-Cups des Retro-Grand Prix!
  1fd5	= Sieg im Blitz-Cup, 150 ccm!
  1fd6	= Sieg im Stern-Cup, 150 ccm!
  1fd7	= 8 verschiedene Kurse im Zeitfahren!
  1fd8	= 5 Siege in Geistrennen!
  1fd9	= Sieg im Blatt-Cup, Spiegel!
  1fda	= Sieg im Blitz-Cup, 100 ccm!
  1fdb	= Rang \u{f061} in allen 100 ccm-Cups des Wii-Grand Prix!
  1fdc	= Sieg im Stern-Cup, Spiegel!
  1fdd	= Sieg im Stern-Cup, 100 ccm!
  1fde	= 12 Spitzengeistdaten der Entwickler im Zeitfahren!
  1fdf	= 200 Siege in Geistrennen!
  1fe0	= Sieg im Spezial-Cup, Spiegel!
  1fe1	= Sieg in allen 50 ccm-Cups!
  1fe2	= Sieg in allen 100 ccm-Cups!
  1fe3	= 3 000 Siege in Nintendo WFC-Rennen!
  1fe4	= Du hast Mario Kart Wii \z{a02,1000000000}-mal gespielt!
  1fe5	/
  2008	= Alle Rekorde
  2009	= Bevorzugtes
  200a	= Freundes-Rekorde
  200b	= Nintendo WFC-Rekorde
  200c	= Andere Rekorde
  2012	= Rang
  2013	= Gefahrene Mario Kart Wii-KM
  2014	= Zahl aller Rennen
  2015	= Zahl aller Wettkämpfe
  2016	= Wii Wheel-Nutzung (%)
  2017	= Ausgeführte Stunts
  2018	= Lieblingsfahrer
  2019	= Lieblingsfahrzeug
  201a	= Lieblingskurs
  201b	= Lieblingsarena
  201c	= Nintendo WFC-Freundes-Rekord
  201d	/
  201e	= Gesendete Geistdaten
  201f	= Empfangene Geistdaten
  2020	= R-Punkte
  2021	= Versus-Rennen-Rekord
  2022	= W-Punkte
  2023	= Wettkampf-Rekord
  2024	= Erstplatzierungen
  2025	= Zeit als Erster (%)
  2026	= Erzielte Itemtreffer
  2027	= Erhaltene Itemtreffer
  2028	= Geistrennen-Rekord
  2029	= Wettbewerbsteilnahmen
  202a	/
  202b	/
  202c	/
  202d	/
  202e	/
  2044	= \z{802,110000}
  2045	= \z{a02,1000000000}
  2046	= \z{a02,1000000000}
  2047	= \z{a02,1000000000}
  2048	= \z{a02,1000000000} %
  2049	= \z{a02,1000000000}
  204a	= \z{802,110000}
  204b	= \z{802,110000}
  204c	= \z{802,110000}
  204d	= \z{802,110000}
  204e	= Siege: \z{a02,1000000000}/Niederl.: \z{a02,1000010000}
  204f	/
  2050	= \z{a02,1000000000}
  2051	= \z{a02,1000000000}
  2052	= \z{a02,1000000000}
  2053	= Siege: \z{a02,1000000000}/Niederl.: \z{a02,1000010000}
  2054	= \z{a02,1000000000}
  2055	= Siege: \z{a02,1000000000}/Niederl.: \z{a02,1000010000}
  2056	= \z{a02,1000000000}
  2057	= \z{a02,1000000000} %
  2058	= \z{a02,1000000000}
  2059	= \z{a02,1000000000}
  205a	= Siege: \z{a02,1000000000}/Niederl.: \z{a02,1000010000}
  205b	= \z{a02,1000000000}
  205c	/
  20d0	/
  20d1	/
  20d2	/
  20d3	/
  20d4	/
  20d5	= Glückwunsch, %ls!\n
	+ \n
	+ Du hast Pokale in allen Cups\n
	+ erhalten! Als Anerkennung für\n
	+ diese Leistung möchten wir dir\n
	+ ein Erinnerungsfoto schenken.\n
	+ Vielen Dank fürs Spielen!\n
	+ Wir wünschen dir auch weiterhin\n
	+ viel Spaß mit Mario Kart Wii!
  20d6	= Glückwunsch, %ls!\n
	+ \n
	+ Du hast Goldpokale in allen Cups\n
	+ erhalten! Als Anerkennung für\n
	+ diese Leistung möchten wir dir\n
	+ ein Erinnerungsfoto schenken.\n
	+ Vielen Dank fürs Spielen!\n
	+ Wir wünschen dir auch weiterhin\n
	+ viel Spaß mit Mario Kart Wii!
  20d7	/
  20d8	/
  20d9	/
  20da	/
  20db	/
  20dc	/
  20dd	/
  20de	/
  20df	/
  20e0	/
  20e1	/
  20e2	/
  20e3	/
  20e4	/
  20e5	/
  20e6	/
  20e7	/
  20e8	/
  20e9	/
  20ea	/
  20eb	/
  20ec	/
  20ed	/
  20ee	/
  20f8	/
  20f9	/
  20fa	/
  20fb	/
  20fc	/
  20fd	/
  20fe	/
  20ff	/
  2100	/
  2101	/
  2102	/
  2103	/
  2104	/
  2105	/
  2106	/
  2107	/
  2108	/
  2109	/
  210a	/
  210b	/
  210c	/
  210d	/
  210e	= Glückwunsch, %ls!\n
	+ \n
	+ Du hast Pokale in allen 100 ccm-\n
	+ Cups erhalten! Eine neue\n
	+ Motorklasse steht zur Verfügung:\n
	+ \n
	+ 100 ccm (Karts und Bikes)!
  210f	/
  2110	/
  2116	/
  2117	/
  2118	/
  2119	/
  211a	/
  211b	/
  211c	/
  211d	/
  211e	/
  211f	/
  2120	/
  2121	/
  2122	/
  2123	/
  2124	/
  2125	/
  2126	/
  212a	= Eine Nachricht des\n
	+ Mario Kart-Kanals.\n
	+ \n
	+ \z{802,200000}\n
	+ \n
	+ \n
	+ \n
	+ Möchtest du keine weiteren\n
	+ kommerziellen Nachrichten von\n
	+ Nintendo erhalten, wähle die\n
	+ ABBESTELLUNG-Schaltfläche\n
	+ am oberen, rechten Rand des\n
	+ Bildschirms.\n
	+ \n
	+ Du kannst entweder (1) alle Nach-\n
	+ richten des Mario Kart-Kanals\n
	+ oder (2) alle Nachrichten aller\n
	+ Kanäle und Spiele abbestellen.
  212b	= Eine Nachricht des\n
	+ Mario Kart-Kanals.\n
	+ \n
	+ \z{802,200000}\n
	+ \n
	+ \n
	+ \n
	+ Möchtest du keine weiteren\n
	+ kommerziellen Nachrichten von\n
	+ Nintendo erhalten, wähle die\n
	+ ABBESTELLUNG-Schaltfläche\n
	+ am oberen, rechten Rand des\n
	+ Bildschirms.\n
	+ \n
	+ Du kannst entweder (1) alle Nach-\n
	+ richten des Mario Kart-Kanals\n
	+ oder (2) alle Nachrichten aller\n
	+ Kanäle und Spiele abbestellen.
  212c	= %ls schlägt vor,\n
	+ dass ihr eure Freundescodes\n
	+ registriert!\n
	+ \n
	+ Mario Kart Wii\n
	+ Freundescode: %04d-%04d-%04d\n
	+ \n
	+ Wenn ihr gegenseitig eure Freundes-\n
	+ codes registriert, könnt ihr\n
	+ gemeinsam Mario Kart Wii via\n
	+ Nintendo Wi-Fi Connection spielen.\n
	+ \n
	+ Besitzt du eine Mario Kart Wii-Disc\n
	+ und hast du den Mario Kart-Kanal\n
	+ deinem Wii-Menü hinzugefügt, dann\n
	+ kannst du die Option START wählen,\n
	+ um die Registrierung der\n
	+ Freundescodes zu bestätigen.\n
	+ \n
	+ Viel Spaß!
  212d	= %ls hat deinen\n
	+ Vorschlag angenommen,\n
	+ Freundescodes zu registrieren!\n
	+ \n
	+ Mario Kart Wii\n
	+ Freundescode: %04d-%04d-%04d\n
	+ \n
	+ Wenn noch genügend Platz in\n
	+ deiner Freundesliste ist,\n
	+ wird ihr dieser Freundescode\n
	+ automatisch hinzugefügt.\n
	+ \n
	+ Hast du den Mario Kart-Kanal\n
	+ deinem Wii-Menü hinzugefügt, dann\n
	+ kannst du die Option START wählen,\n
	+ um den Mario Kart-Kanal zu öffnen\n
	+ und zu prüfen, ob der Freundescode\n
	+ in deiner Freundesliste registriert\n
	+ wurde.\n
	+ \n
	+ Viel Spaß!
  212e	/
  212f	/
  2130	/
  2131	/
  2132	/
  2133	/
  2134	/
  2138	/
  2139	/
  213e	/
  213f	/
  2140	/
  2141	/
  2142	/
  2143	/
  2144	/
  2145	/
  2146	/
  2147	/
  2148	/
  2149	/
  214a	/
  214b	/
  214c	/
  214d	/
  214e	/
  214f	/
  2150	/
  2151	/
  2152	/
  215c	/
  215d	/
  215e	/
  215f	/
  2160	/
  2161	/
  2162	/
  2163	/
  2164	/
  2165	/
  2166	/
  2167	/
  2168	/
  2169	/
  216a	/
  216b	/
  216c	/
  216d	/
  216e	/
  216f	/
  2170	/
  2171	/
  2172	/
  2173	/
  2174	/
  2175	/
  2176	/
  2177	/

2774 = Willkommen zum ersten Mario Kart\nWii-Wettbewerb! Fahr' die beste\nZeit im Versus-Rennen auf\nMarios Piste. Du kannst dein\nRekord so oft du willst verbessern.
27a2 = Nimm bei einem Versus-Rennen mit\n11 anderen Fahrern auf Marios Piste\nteil! Probiere es so oft du\nwillst und fahre die beste Zeit.
2775 = Passiere alle Tore auf dem\nKampfkurs 3 (GBA). Die angezeigte\nStreckenkarte ist unverzichtbar\nin diesem Wettbewerb! Außerdem\nbrauchst du dein Wii Wheel!
2777 = Ein Zeitfahren (Retour) in\nder Pilz-Schlucht. Finde heraus,\nwelche Route die schnellste ist!\nAchtung, nur Kartfahrer\nsind auf der Piste erlaubt!
2778 = Auf der Kokos-Promenade liegt das\nGeld buchstäblich auf der Straße!\nSammle, so schnell du kannst,\nalle Münzen ein, damit du sie dem\narmen Tropf, der sie verloren hat,\nzurückgeben kannst!
2779 = Nimm an einem Versus-Rennen auf der\nunheimlichen, dunklen Strecke DS\nTwilight House teil.\nDafür brauchst du den\nNintendo Wii Wheel!
277a = Donkey Kong und Diddy Kong lieben\nes Bananen auf der ganzen Strecke\nN64 DKs Dschungel Parkweg zu\nverteilen. Weiche den Bananen aus\nund erreiche das Ziel so\nschnell du kannst!
277b = Wasserrutsche, Sprungschanzen,\nSteilküste, das Meer! Koopa-Kap\nist ein Urlaubsparadies, aber bei\ndiesem Wettbewerb gilt es, alle\nTore in der richtigen Reihenfolge\nzu durchfahren! Lass keins aus!
277c = Schauplatz dieses Zeitfahrens, bei\ndem das Wii Wheel benötigt wird,\nist der Wolkenkratzer (N64).\nBestzeiten erreichst du, indem\ndu den Bob-omb-Mobilen ausweichst\nund die Items geschickt einsetzt!
277d = Dieses Mal musst du nicht nur alle\nMünzen auf Marios Piste 3 (SNES)\neinsammeln: Setze Turbo-Pilze so\ngeschickt ein, dass du dabei auch\nnoch richtig schnell bist! Nur Karts\ndürfen am Wettbewerb teilnehmen.
277e = Die Steinwüste wird von einem\ngigantischen Pokey heimgesucht!\nWeiche seinen Attacken aus und\nbesiege ihn drei Mal!
277f = Bist du ein Wii Wheel-Ass? Beweise\nes und schnapp dir dein Wii Wheel - \nohne geht's nicht! Aber Items suchst du\nin dem Versus-Rennen auf Luigis Piste\nvergeblich. Nutze den Windschatten!\nNur im Kart ist die Teilnahme möglich.
2780 = Im Blätterwald verstecken sich\nMünzen in den Blätterhaufen!\nSammle alle ein und nimm dich\nvor den wankelmütigen Wigglern\nin Acht!
2781 = Da bei diesem Zeitfahren auf\nMarios Rennpiste (N64) nur\nGoldene Turbo-Pilze zur Verfügung\nstehen, scheint es eine gute Idee\nzu sein, so viele Abkürzungen zu\nnehmen, wie es eben gibt.
2782 = Dieses Zeitfahren in Warios\nGoldmine wird dadurch erschwert,\ndass sich ein Wiggler in die\nMine verirrt hat und jetzt\netwas verwirrt durch die\nGegend trampelt!
2783 = Wintersport auf der DK Skikane!\nPassiere alle Tore in korrekter\nReihenfolge und leg dabei gleich\nein paar coole Stunts hin!
2784 = Fahre ein Zeitfahren (Retour)\ndurch Toads Fabrik! Dank der neuen\nStreckenführung kommst du oft nur\nmit einem Stunt weiter! Außerdem\nbrauchst du Temposchübe für\ndie Bestzeit!
2785 = Sammle alle Münzen im Funky-Stadion\nein! Bei diesem weiträumigen Gelände\nhilft dir die eingeblendete\nStreckenkarte, eine gute Route\nzu finden, um möglichst schnell\nalle Münzen einzusammeln.
2786 = Suche dir in diesem Zeitfahren\ndie schnellste Route durch\ndas Labyrinth der Block-Plaza!\nÖlpfützen und Gumbas machen\nes auch nicht gerade leichter.
2787 = Passiere der Reihe nach alle Tore in\nBowsers Festung 3 (GBA). Einige sind\nin der Luft und nur über Rampen zu\nerreichen. Also zeig dein Können als\nAkrobat und vollführe ein paar Stunts!\nDie Teilnahme ist auf Karts begrenzt!
2788 = Auf dem Kampfkurs 4 (SNES)\nsind überall Münzen verteilt!\nVersuche, in diesem Irrgarten\neine gute Route zu finden, um\nmöglichst schnell alle Münzen\neinzusammeln!
2789 = Fordere Knochen-Bowser auf dem\nKurs Bowsers Festung (N64) zu\neinem rasanten Versus-Rennen\nheraus! Aber hüte dich vor seinem\nüblen Feueratem! Die Teilnahme am\nRennen ist auf Karts beschränkt.
27a3 = Fordere Knochen-Bowser auf der\nStrecke N64 Bowsers Schloss zu einem\nrasanten Versus-Rennen heraus!\nPass auf seinem bösen Feueratem\nauf und erreiche das Ziel!
278a = Das Publikum will eine heiße Show\nsehen in der Waluigi-Arena (GCN)!\nFahre durch alle Tore und zeige deine\ntollsten Stunts, dann wird das Publikum\nauf dich fliegen! Aber verpass kein Tor!
278b = Weiche in Peachs Schlossgarten (DS)\nstreunenden Kettenhunden und\ngriesgrämigen Monty Maulwürfen aus!\nAllerdings ziehen manche Kettenhunde\nTurbo-Pilze hinter sich her, die\ndu für Bestzeiten brauchst!
278c = Die Sonne geht auf Luigis Piste unter.\nAus irgendeinem Grund fahren\nBob-Omb-Fahrzeuge Runden auf der\nStrecke! Lass dich nicht in diesem\nVersus-Rennen explodieren lassen!
278d = Beim Kettenhund-Roulette hat\njemand den Jackpot geknackt!\nVerwende die Items sinnvoll\nund sammle alle Münzen ein!\nBei diesem Wettbewerb wird\ndas Wii Wheel benötigt.
278e = Bei diesem Zeitfahren (Retour) auf\ndem Kurs Vulkangrollen solltest du\nüber die Rampen Stunts ausführen,\num möglichst viele Mini-Turbos zu\nerhalten! Nur am Lenker eines Karts\ndarfst du dich ins Rennen stürzen!
2776 = Über dem ganzen weg von Super Mario\nGalaxy, ist hier der stachelige Champion!\nSchlage alle stacheligen Champions von\nder Kante der Super Mario Galaxy-Arena\nso schnell du kannst!\n\n\c{green}(Der Wettbewerb wurde neu erstellt)\c{off}
278f = Die Dornenbegomanen kamen den\nganzen weiten Weg aus Super Mario\nGalaxy hierher! Kicke alle Dornen-\nBegomanen aus der Galaxis-Arena und\nzwar so schnell du kannst! Aber pass\nauf! Die Arena löst sich auf!
27a4 = Die Dornenbegomanen kamen den\nganzen weiten Weg aus Super Mario\nGalaxy hierher! Kicke alle Dornen-\nBegomanen aus der Galaxis-Arena und\nzwar so schnell du kannst! Aber pass\nauf! Die Arena löst sich auf!
2790 = Auf dem Peach Beach (GCN) sind\nüberall Münzen verstreut!\nUnglücklicherweise werden sie\nvon Kataquax bewacht! Versuche,\nso schnell du kannst, alle\nMünzen einzusammeln!
2791 = Vorsicht ist geboten in den\nYoshi-Kaskaden (DS), denn da\nwuchern riesige Trampolin-Pilze!\nDu brauchst das Wii Wheel und pass\nauf, dass du in diesem Versus-\nRennen nicht in die Tiefe stürzt!
2792 = Eine Krabbeninvasion am\nschönen Shy Guy-Stand (GBA)!\nVerwende die Items am Strand,\num diese nervigen Krustentiere\naus der Schale zu hauen!
2793 = Bowser fordert jeden in einem\nZeitfahren in Bowsers Festung\nheraus! Er hat den Kurs dieses\nMal noch fieser gestaltet!\nKommst du dennoch nach drei\nRunden unversehrt durchs Ziel?
2794 = Fordere die Baby-Fahrer zu einem\nVersus-Rennen nur mit\nMotorrad-Fahrern auf der Strecke\nGCN Cookie Land heraus. Den richtigen\nWeg zu wählen ist der\nSchlüssel zum Sieg!
2795 = Der Kurs Marios Piste (GCN) ist schon\neine Klasse für sich, aber jetzt sind\nsogar noch mehr Piranha-Pflanzen und\nandere Plagegeister auf Streifzug!\nKannst du in diesem Zeitfahren\ndie Gegner austricksen?
2796 = Auf Daisys Piste finden sich\nan der Achterschikane scheinbar\nachtlos platzierte Tore!\nDurchfahre der Reihe nach alle\nTore und zeige, wie ein Profi\nin Kurven driftet!
2797 = Ein Rennen ist auf der sonnigen,\nsandigen Strecke Staubtrockene\nWüste im Gange. Pilz-änliche Items sind\ndie einzigen verfügbaren. Vielleicht\nzeigen dir die Pokys wo\ndu sie nutzen solltest.
2798 = Ohne diese wilden Kettenhunde\nkönnte das Zeitfahren auf dem\nRegenbogen-Boulevard richtig\nschön sein. Lass dich bloß nicht\nbeißen! Aus Sicherheitsgründen\nwerden nur Karts zugelassen!
2799 = Die Glühheiße Wüste (DS) wimmelt von\nPokeys! Finde heraus, wie schnell du\ndie Pokeys umnieten kannst!\nDu kannst beliebig viele Runden\nfahren, aber sieh zu, dass du\nmöglichst viele Pokeys erwischst!
279a = Der Trick bei diesem Zeitfahren\nauf dem Delfino-Pier liegt darin,\neine gute Route zu finden.\nVielleicht solltest du nicht\nimmer dieselbe Route fahren?\nDu wirst schon sehen, warum ...
279b = Als Bergziege hättest du vielleicht\nkeine Probleme, alle Tore im\nDK Bergland (GCN) in der richtigen\nReihenfolge zu passieren. Aber die\nkönnte das Wii Wheel nicht halten,\ndas du hier brauchst! Viel Spaß!
279c = N64 Sorbet-Land ist die Kulisse\nfür ein kaltes Rennen. Pinguine\nsind gekommen, um das Rennen zu\nbeobachten. Behalte sie im Auge um\nungehindert ins Ziel zu kommen!
