#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Bonjour!
	+ libre, les messages les plus anciens\n
	+ sont effacés pour faire de la place\n
	+ aux nouveaux.
  1e1b	= Merci d'avoir joué!\n
	+ \n
	+ Continuez à vous amuser\n
	+ avec Mario Kart Wii!
  1f40	= Félicitations!\n
	+ Vous avez débloqué\n
	+ une nouvelle coupe!\n
	+ \n
	+ \z{802,110001} en \z{802,110000}!
  1f41	= Félicitations!\n
	+ Vous pouvez maintenant\n
	+ jouer en mode miroir!
  1f42	= Félicitations!\n
	+ Vous pouvez maintenant\n
	+ jouer avec \z{802,110000}!
  1f43	= Félicitations!\n
	+ Vous pouvez maintenant\n
	+ jouer avec \z{802,110000}!
  1f44	= Félicitations!\n
	+ Vous avez débloqué un\n
	+ nouveau kart léger!\n
	+ \n
	+ \z{802,110000}
  1f45	= Félicitations!\n
	+ Vous avez débloqué un\n
	+ nouveau kart standard!\n
	+ \n
	+ \z{802,110000}
  1f46	= Félicitations!\n
	+ Vous avez débloqué un\n
	+ nouveau kart lourd!\n
	+ \n
	+ \z{802,110000}
  1f47	= Félicitations!\n
	+ Vous avez débloqué une\n
	+ nouvelle moto légère!\n
	+ \n
	+ \z{802,110000}
  1f48	= Félicitations!\n
	+ Vous avez débloqué une\n
	+ nouvelle moto standard!\n
	+ \n
	+ \z{802,110000}
  1f49	= Félicitations!\n
	+ Vous avez débloqué une\n
	+ nouvelle moto lourde!\n
	+ \n
	+ \z{802,110000}
  1f4a	= Félicitations!\n
	+ Vous pouvez maintenant faire\n
	+ un Grand Prix en 50cc avec\n
	+ karts et motos!
  1f4b	= Félicitations!\n
	+ Vous pouvez maintenant faire\n
	+ un Grand Prix en 100cc avec\n
	+ karts et motos!
  1f4c	/
  1fa4	= Vous avez gagné un trophée dans la Coupe Champignon et la Coupe Fleur
	+  en \z{802,110000}!
  1fa5	= Vous avez gagné un trophée dans la Coupe Etoile en \z{802,110000}!
  1fa6	= Vous avez gagné un trophée dans la Coupe Carapace et la Coupe Fleur en
	+  \z{802,110000}!
  1fa7	= Vous avez gagné un trophée dans la Coupe Feuille en \z{802,110000}!
  1fa8	= Vous avez remporté toutes les coupes en 150cc!
  1fa9	/
  1fae	= Vous avez remporté la Coupe Feuille en 100cc!
  1faf	= Vous avez joué en Contre-la-montre sur tous les circuits!
  1fb0	= Vous avez obtenu 1000 victoires sur la CWF Nintendo!
  1fb1	= Vous avez obtenu la classe \u{f061} dans toutes les coupes Wii en 50cc!
  1fb2	= Vous avez débloqué 8 super fantômes des développeurs!
  1fb3	= Vous avez remporté la Coupe Eclair en 50cc!
  1fb4	= Vous avez obtenu la classe \u{f061} dans toutes les coupes Rétro en 100c
	+ c!
  1fb5	= Vous avez remporté la Coupe Spéciale en 150cc!
  1fb6	= Vous avez joué en Contre-la-montre sur 16 circuits différents!
  1fb7	= Vous avez obtenu la classe \u{f061} dans toutes les coupes en mode miroir
	+ !
  1fb8	= Vous avez reçu un cadeau de Super Mario Galaxy!
  1fb9	= Vous avez obtenu la classe \u{f061} dans toutes les coupes Wii en 150cc!
  1fba	= Vous avez débloqué 4 super fantômes des développeurs!
  1fbb	= Vous avez remporté 25 courses fantôme!
  1fbc	= Vous avez remporté la Coupe Etoile en 50cc!
  1fbd	= Vous avez remporté la Coupe Spéciale en 100cc!
  1fbe	= Vous avez débloqué les 32 super fantômes des développeurs!
  1fbf	= Vous avez obtenu 5000 victoires sur la CWF Nintendo!
  1fc0	= Vous avez remporté 100 courses fantôme!
  1fc1	= Vous avez obtenu 250 victoires sur la CWF Nintendo!
  1fc2	/
  1fcc	= Vous avez obtenu la classe \u{f061} dans toutes les coupes Rétro en 50cc
	+ !
  1fcd	= Vous avez débloqué un super fantôme des développeurs!
  1fce	= Vous avez obtenu 50 victoires sur la CWF Nintendo!
  1fcf	= Vous avez remporté la Coupe Eclair en mode miroir!
  1fd0	= Vous avez remporté la Coupe Feuille en 50cc!
  1fd1	= Vous avez remporté la Coupe Feuille en 150cc!
  1fd2	= Vous avez débloqué 24 super fantômes des développeurs!
  1fd3	= Vous avez remporté la Coupe Spéciale en 50cc!
  1fd4	= Vous avez obtenu la classe \u{f061} dans toutes les coupes Rétro en 150c
	+ c!
  1fd5	= Vous avez remporté la Coupe Eclair en 150cc!
  1fd6	= Vous avez remporté la Coupe Etoile en 150cc!
  1fd7	= Vous avez joué en Contre-la-montre sur 8 circuits différents!
  1fd8	= Vous avez remporté 5 courses fantôme!
  1fd9	= Vous avez remporté la Coupe Feuille en mode miroir!
  1fda	= Vous avez remporté la Coupe Eclair en 100cc!
  1fdb	= Vous avez obtenu la classe \u{f061} dans toutes les coupes Wii en 100cc!
  1fdc	= Vous avez remporté la Coupe Etoile en mode miroir!
  1fdd	= Vous avez remporté la Coupe Etoile en 100cc!
  1fde	= Vous avez débloqué 12 super fantômes des développeurs!
  1fdf	= Vous avez remporté 200 courses fantôme!
  1fe0	= Vous avez remporté la Coupe Spéciale en mode miroir!
  1fe1	= Vous avez gagné un trophée dans toutes les coupes en 50cc!
  1fe2	= Vous avez gagné un trophée dans toutes les coupes en 100cc!
  1fe3	= Vous avez obtenu 3000 victoires sur la CWF Nintendo!
  1fe4	= Vous avez joué \z{a02,1000000000} fois à Mario Kart Wii!
  1fe5	/
  2008	= Général
  2009	= Préférences
  200a	= Amis
  200b	= CWF Nintendo
  200c	= Divers
  2012	= Classe
  2013	= Distance parcourue
  2014	= Courses disputées
  2015	= Batailles disputées
  2016	= % d'utilisation du Wii Wheel
  2017	= Figures réalisées
  2018	= Pilote préféré
  2019	= Véhicule préféré
  201a	= Circuit préféré
  201b	= Arène préférée
  201c	= Amis CWF Nintendo
  201d	/
  201e	= Fantômes envoyés
  201f	= Fantômes reçus
  2020	= Points Course
  2021	= Courses CWF Nintendo
  2022	= Points Bataille
  2023	= Batailles CWF Nintendo
  2024	= Arrivées en 1\u{e069} place
  2025	= % de temps en 1\u{e069} place
  2026	= Coups donnés
  2027	= Coups reçus
  2028	= Courses fantôme
  2029	= Participations aux concours
  202a	/
  202b	/
  202c	/
  202d	/
  202e	/
  2044	= \z{802,110000}
  2045	= \z{a02,1000000000}
  2046	= \z{a02,1000000000}
  2047	= \z{a02,1000000000}
  2048	= \z{a02,1000000000} %
  2049	= \z{a02,1000000000}
  204a	= \z{802,110000}
  204b	= \z{802,110000}
  204c	= \z{802,110000}
  204d	= \z{802,110000}
  204e	= Victoires: \z{a02,1000000000} Défaites: \z{a02,1000010000}\040
  204f	/
  2050	= \z{a02,1000000000}
  2051	= \z{a02,1000000000}
  2052	= \z{a02,1000000000}
  2053	= Victoires: \z{a02,1000000000} Défaites: \z{a02,1000010000}
  2054	= \z{a02,1000000000}
  2055	= Victoires: \z{a02,1000000000} Défaites: \z{a02,1000010000}
  2056	= \z{a02,1000000000}
  2057	= \z{a02,1000000000} %
  2058	= \z{a02,1000000000}
  2059	= \z{a02,1000000000}
  205a	= Victoires: \z{a02,1000000000} Défaites: \z{a02,1000010000}
  205b	= \z{a02,1000000000}
  205c	/
  20d0	/
  20d1	/
  20d2	/
  20d3	/
  20d4	/
  20d5	= Félicitations, %ls!\n
	+ \n
	+ Vous avez gagné un trophée dans\n
	+ toutes les coupes! Pour célébrer\n
	+ cette performance, nous vous\n
	+ offrons cette photo-souvenir.\n
	+ Merci d'avoir joué! Continuez à\n
	+ vous amuser avec Mario Kart Wii!
  20d6	= Félicitations, %ls!\n
	+ \n
	+ Vous avez remporté toutes\n
	+ les coupes! Pour célébrer cette\n
	+ performance, nous vous offrons\n
	+ cette photo-souvenir. Merci\n
	+ d'avoir joué! Continuez à vous\n
	+ amuser avec Mario Kart Wii!
  20d7	/
  20d8	/
  20d9	/
  20da	/
  20db	/
  20dc	/
  20dd	/
  20de	/
  20df	/
  20e0	/
  20e1	/
  20e2	/
  20e3	/
  20e4	/
  20e5	/
  20e6	/
  20e7	/
  20e8	/
  20e9	/
  20ea	/
  20eb	/
  20ec	/
  20ed	/
  20ee	/
  20f8	/
  20f9	/
  20fa	/
  20fb	/
  20fc	/
  20fd	/
  20fe	/
  20ff	/
  2100	/
  2101	/
  2102	/
  2103	/
  2104	/
  2105	/
  2106	/
  2107	/
  2108	/
  2109	/
  210a	/
  210b	/
  210c	/
  210d	/
  210e	= Félicitations, %ls!\n
	+ \n
	+ Vous avez gagné un trophée dans\n
	+ toutes les coupes en 100cc! Une\n
	+ nouvelle cylindrée est maintenant\n
	+ disponible:\n
	+ \n
	+ 100cc (karts et motos)
  210f	/
  2110	/
  2116	/
  2117	/
  2118	/
  2119	/
  211a	/
  211b	/
  211c	/
  211d	/
  211e	/
  211f	/
  2120	/
  2121	/
  2122	/
  2123	/
  2124	/
  2125	/
  2126	/
  212a	= Ce message concerne la chaîne\n
	+ Mario Kart.\n
	+ \n
	+ \z{802,200000}\n
	+ \n
	+ \n
	+ \n
	+ Si vous souhaitez ne plus recevoir\n
	+ de messages de Nintendo, veuillez\n
	+ sélectionner le bouton "Ne plus\n
	+ recevoir" en haut à droite de l'écran.\n
	+ \n
	+ Vous pouvez choisir de ne plus\n
	+ recevoir de messages relatifs à la\n
	+ chaîne Mario Kart (1), ou bien de\n
	+ ne plus recevoir de messages\n
	+ d'aucun service, chaîne ou jeu (2).
  212b	= Ce message concerne la chaîne\n
	+ Mario Kart.\n
	+ \n
	+ \z{802,200000}\n
	+ \n
	+ \n
	+ \n
	+ Si vous souhaitez ne plus recevoir\n
	+ de messages de Nintendo, veuillez\n
	+ sélectionner le bouton "Ne plus\n
	+ recevoir" en haut à droite de l'écran.\n
	+ \n
	+ Vous pouvez choisir de ne plus\n
	+ recevoir de messages relatifs à la\n
	+ chaîne Mario Kart (1), ou bien de\n
	+ ne plus recevoir de messages\n
	+ d'aucun service, chaîne ou jeu (2).
  212c	= %ls vous a envoyé\n
	+ une invitation!\n
	+ \n
	+ Code ami Mario Kart Wii:\n
	+ %04d-%04d-%04d\n
	+ \n
	+ En enregistrant vos codes amis\n
	+ respectifs, vous pourrez jouer\n
	+ ensemble à Mario Kart Wii via\n
	+ la connexion Wi-Fi Nintendo.\n
	+ \n
	+ Si vous possédez Mario Kart Wii\n
	+ et que vous avez ajouté la chaîne\n
	+ Mario Kart à votre menu Wii,\n
	+ sélectionnez le bouton "Démarrer"\n
	+ en bas à droite de l'écran pour\n
	+ enregistrer ce code ami dans votre\n
	+ liste d'amis.\n
	+ \n
	+ Amusez-vous bien!
  212d	= %ls a accepté\n
	+ votre invitation!\n
	+ \n
	+ Code ami Mario Kart Wii:\n
	+ %04d-%04d-%04d\n
	+ \n
	+ Note: s'il y a de la place dans\n
	+ votre liste d'amis, ce code ami\n
	+ sera enregistré automatiquement.\n
	+ \n
	+ Si vous avez ajouté la chaîne\n
	+ Mario Kart à votre menu Wii,\n
	+ sélectionnez le bouton "Démarrer"\n
	+ en bas à droite de l'écran pour y\n
	+ accéder et vérifier si ce code ami\n
	+ a bien été enregistré.\n
	+ \n
	+ Amusez-vous bien!
  212e	/
  212f	/
  2130	/
  2131	/
  2132	/
  2133	/
  2134	/
  2138	/
  2139	/
  213e	/
  213f	/
  2140	/
  2141	/
  2142	/
  2143	/
  2144	/
  2145	/
  2146	/
  2147	/
  2148	/
  2149	/
  214a	/
  214b	/
  214c	/
  214d	/
  214e	/
  214f	/
  2150	/
  2151	/
  2152	/
  215c	/
  215d	/
  215e	/
  215f	/
  2160	/
  2161	/
  2162	/
  2163	/
  2164	/
  2165	/
  2166	/
  2167	/
  2168	/
  2169	/
  216a	/
  216b	/
  216c	/
  216d	/
  216e	/
  216f	/
  2170	/
  2171	/
  2172	/
  2173	/
  2174	/
  2175	/
  2176	/
  2177	/

2774 = Bienvenue au tout premier concours\nMario Kart Wii! Réalisez le meilleur\ntemps possible en course VS sur le\nCircuit Mario. Vous pouvez envoyer\nautant de records que vous voulez!
27a2 = Affrontez 11 autres pilotes dans\nune course VS sur le Circuit Mario\net essayez d'obtenir le meilleur\ntemps possible!\n\nCouncours pour karts uniquement\nConcours pour Wii Wheel
2775 = Franchissez les portes numérotées de\nl'Arène Bataille 3 GBA dans l'ordre.\nLe plan à l'ècran n'aura jamais été\naussi utile! \n\nConcours pour Wii Wheel
2777 = Traversez la Gorge Champignon dans\nun contre-la-montre à contresens.\nQuel est le chemin le plus rapide?\nA vous de le découvrir!\n\nConcours pour karts uniquement
2778 = Quelques clients distraits ont fait tomber\nleur argent durement gagné dans les\nallées du Supermarché Coco! Ramassez\nles pièces le plus vite possible afin de\nles restituer à leurs propriètaires!
2779 = Participez à une course VS ayant\npour cadre l'ambiance lugubre de\nla Maison de l'Aube DS…\nFrissons garantis!\n\nConcours pour Wii Wheel
277a = Donkey Kong et Diddy Kong adorent\néparpiller des bananes à travers\nla Jungle DK N64. Evitez-les et\nfoncez vers l'arrivée!
277b = Visitez le Cap Koopa et sa vue imprenable\nsur l'océan. Franchissez toutes les portes\nnumérotées du circuit dans l'ordre!
277c = Effectuez trois tours sur les hauteurs du\nGratte-ciel N64. Ramassez les objets\ntout en évitant les voitures Bob-omb\npour établier un temps record!\n\nConcours pour Wii Wheel
277d = Ramassez les pièces éparpillées sur\n le Circuit Mario 3 SNES. Utilisez vos\nchampignons turbo judicieusement\npour établir le meilleur temps possible!\n\nConcours pour karts uniquement
277e = Un Pokey géant a élu domicile dans le\nDésert Thwomp! Evitez ses attaques\net battez-le trois fois pour vous en\ndébarrasser définitivement!
277f = Participez à une course VS effrénée sur le\nCircuit Luigi! Il n’y a aucun objet\npour vous venir en aide, alors utilisez la\ntechnique de l’aspiration à bon escient!\n\nConcours pour kart uniquement\nConcours pour Wii Wheel
2780 = Ramassez les pièces cachées dans les\ntas de feuilles mortes qui jonchent le sol\ndu Bois Vermeil. Mais faites attention,\nles Wiggler veillent au grain!
2781 = Parcourez l'Autodrome Mario N64\nen contre-la-montre. Seuls les\nchampignons turbo dorés sont\ndisponibles, alors ne loupez pas une\noccasion de prendre un raccourci!
2782 = Arpentez les rails de la Mine Wario en\ncontre-la-montre. Mais attention, un\nWiggler a fait une descente dans la mine\net fera tout pour vous bloquer la route!
2783 = Le Pic DK est l'endroit idéal pour un petit\nslalom à travers des portes numérotées.\nProfitez-en pour réaliser des figures\naériennes et épater la galerie!
2784 = Parcourez l'Usine Toad à contresens en\ncontre-la-monte. Comme vous roulez en\nsens inverse, vous devrez parfois réaliser\ndes figures pour progresser sans accrocs!
2785 = Ramassez toutes les pièces dans\nle Stade Funky Kong. Gardez un\nœil sur le plan affiché à l'écran\npour éviter de tourner en rond\net de perdre un temps précieux!
2786 = Frayez-vous un chemin à travers les\nméandres du Square Bloc et effectuez\ntrois tours le plus vite possible.\nAttention aux Goomba et aux flaques\nd'huile!
2787 = Franchissez les portes numérotées du\nChâteau de Bowser 3 GBA dans l'ordre.\nCertaines portes sont suspendues dans\nles airs, alors profitez-en pour réaliser\ndes figures aériennes, juste pour le style!
2788 = Ramassez les pièces éparpillées dans\n l'Arène Bataille 4 SNES. Cet endroit est\nun vrai labyrinthe, ne vous y perdez pas!
2789 = Affrontez Bowser Skelet en duel sur son\npropre terrain: le Château de Bowser N64!\nPrenez garde à son souffle enflammé et\nfoncez vers l’arrivée!\n\nConcours pour karts uniquement.
27a3 = Affrontez Bowser Skelet en duel sur son\npropre terrain: le Château de Bowser N64!\nPrenez garde à son souffle enflammé et\nfoncez vers l’arrivée!
278a = Franchissez toutes les portes du\nStade Waluigi GCN et réalisez des\nfigures aériennes pour enflammer\nla foule!
278b = Slalomez entre les Topi Taupes\net les Chomp déchaînés dans\nle Jardin Peach DS! Faites bon usage des\nchampignons turbo que certains Chomp\nlaissent traîner au bout de leur chaîne!
278c = Le soleil se couche sur le Circuit Luigi\net les voitures Bob-omb sont de sortie!\nEssayez de terminer cette course VS\nen un seul morceau!
278d = Quelqu'un a décroché le jackpot sur la\nRoulette Chomp! Faites bon usage des\nobjets et ramassez toutes les pièces!\n\nConcours pour Wii Wheel
278e = Parcourez le Volcan Grondant dans un\ncontre-la-montre à contresens. Utilisez\nles rampes pour réaliser des figures et\nobtenir les turbos qui vous permettront\nd'établir un temps record!\n\nConcours pour karts uniquement
2776 = Sortis tout droit de Super Mario Galaxy,\nvoici les Begopik! Ejectez-les hors de\nla Galaxie Circulaire le plus vite possible!\n\n\c{green}(Ce concours a été recréer)\c{off}
278f = Sortis tout droit de Super Mario Galaxy,\nvoici les Begopik! Ejectez-les hors de la\nGalaxie Circulaire le plus vite possible!\nMais faites attention à ne pas tomber\nlosque l'arène commence à s'ėcrouler!
27a4 = Sortis tout droit de Super Mario Galaxy,\nvoici les Begopik! Ejectez-les hors de la\nGalaxie Circulaire le plus vite possible!\nSi certains d’entre eux tentent de s’enfuir,\nne les laissez pas faire!
2790 = Des pièces sont éparpillées dans\nle sable de la Plage Peach GCN.\nDétournez l’attention des Catacouac\net ramassez-les toutes!
2791 = Les Cascades Yoshi DS sont infestées de\nchampignons trampolines! Rebondissez à\ntravers cette course VS et prenez garde\nà ne pas tomber!\n\nConcours pour Wii Wheel
2792 = Une horde de crabes est venue troubler\nle calme de la Plage Maskass GBA!\nUtilisez les objets disponibles pour vous\ndébarasser de ces maudits crustacés!
2793 = Bowser a organisé un grand concours en\ncontre-la-montre dans son propre château.\nLe circuit compte encore plus de pièges\nque d'habitude. Serez-vous à la hauteur?
2794 = Affrontez les pilotes en culottes\ncourtes dans une course de motos\nsur Cookie Arena GCN. Choisir le bon\nitinéraire est la clé de la victoire!
2795 = Vous trouviez le Circuit Mario GCN plutôt\ndifficile? Le voilà maintenant infesté de\nPlantes Piranha! Combien de temps vous\nfaudra-t-il pour effectuer trois tours\nau milieu de cette flore carnivore?
2796 = Une série de portes décrivant un 8\nont été placées sur le Circuit Daisy.\nMontrez votre maîtrise des dérapages\nen franchissant chacune d'entre elles!
2797 = Participez à une course VS sous le soleil\nbrûlant des Ruines Sec Sec. Seuls les\nchampignons sont disponibles. Les Pokeys\nvous monteront peut-être où les utiliser?
2798 = Parcourez la sinueuse Route Arc-en-ciel\nen contre-la-montre tout en prenant soin\nd'éviter les Chomp qui y ont élu domicile!\n\nConcours pour karts uniquement
2799 = Faites le ménage dans le Désert du\nSoleil DS en balayant quelques Pokeys!\nLe nombre de tours n'est pas limité,\nmais ne traînez pas pour autant!
279a = Faites le tour de la Jetée Delfino\nen contre-la-montre. L'astuce est de\ntrouver le parcours idéal, mais passer\npar le même chemin à chaque tour n'est\npas forcément la meilleure solution...
279b = Franchissez les portes de la\nMontagne DK GCN dans l'ordre.\nN'espérez pas foncer tout schuss,\nvous allez devoir slalomer si vous ne\nvoulez pas manouer une seule porte!\n\nCouncours pour Wii Wheel
279c = Cette course VS a pour cadre les glaces\ndu Royaume Sorbet N64. Les pingouins\nsont adorables, mais ne vous laissez pas\ndistraire pour autant! Gardez la tête\nfroide et foncez vers l’arrivée!
279d = Eliminez les Goomba qui traînent sur le\nCircuit Mario le plus vite possible. Une\nbonne utilisation des objets peut vous\nfaire gagner de précieuses secondes!\n\nConcours pour karts uniquement
279e = C'est le moment de montrer vos talents\nde pilote dans une course de motos sur\nle Circuit Luigi! Il n'y a aucun objet\npour vous venir en aide, alors utilisez la\ntechnique de l'aspiration à bon escient!
279f = La Plage Peach GCN est infestée de\nchampignons trampolines! Le mode de\ndérapage automatique est vivement\nconseillè pour ce contre-la-montre.
27a0 = Réalisez le meilleur temps possible\ndans un contre-la-montre sur la\nRoute Clair de Lune. Mais faites\nattention, la circulation semble\nquelque peu perturbée...
27a1 = Parcoures les ruelles agitées du\nQuartier Delfino DS en contre-la-montre.\nAttention aux caisses, aux Goomba\net aux rues barrées!

27f0 = Concours
27d8 = Contre-la-montre
27da = Contre-la-montre
27d9 = Course VS
27db = Score d'ennemi
27dc = Combat de boss
27dd = Course VS de boss
27de = Defi de pièce
27df = Defi de portail

27f1 = Concours %02d
27f2 = Musée des concours
2800 = Votre position ne sera pas sauvegardée\nsi vous utilisez cette manette. \nContinuer ?
2801 = Sauvegarde des fantômes
2802 = Sauvegarder des fantômes sur\nla carte SD ?
2803 = Toujours sauvegarder
2804 = Sauvegarder le meilleur temps
2805 = Jamais sauvegarder
2806 = Le paramètre de sauvegarde des\nfantômes a été défini sur\nToujours sauvegarder.\n\nLes fantômes seront sauvegarder\nseulement si vous utilisez Riivolution.
2807 = Le paramètre de sauvegarde des\nfantômes a été défini sur\nSauvegarde le temps le plus vite.\n\nLes fantômes seront sauvegarder\nseulement si vous utilisez Riivolution.
2808 = Le paramètre de sauvegarde des\nfantômes a été défini sur\nJamais sauvegarder.\n\nLes fantômes seront sauvegarder\nseulement si vous utilisez Riivolution.
 18697	/
 18698	/
 18699	/
 1869a	/
 1869b	/
 1869c	/
 1869d	/
 1869e	/

