#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= こんにちは！
  1fa8	= 150cc  全カップ  制覇！
  1fa9	/
  1fae	= 100cc  このはカップ  優勝！
  1faf	= すべてのコースで  タイムアタックをした！
  1fb0	= Wi-Fi対戦  1000勝  突破！
  1fb1	= 50cc  Wiiグランプリの全カップ  ランク\u{f061}獲得！
  1fb2	= はやいスタッフゴースト  8体出現！
  1fb3	= 50cc  サンダーカップ  優勝！
  1fb4	= 100cc  レトログランプリの全カップ  ランク
	+ \u{f061}獲得！
  1fb5	= 150cc  スペシャルカップ  優勝！
  1fb6	= 16コースで  タイムアタックをした！
  1fb7	= ミラー  全カップ  ランク\u{f061}獲得！
  1fb8	= 「スーパーマリオギャラクシー」から  プレゼント！
  1fb9	= 150cc  Wiiグランプリの全カップ  ランク\u{f061}獲得！
  1fba	= はやいスタッフゴースト  4体出現！
  1fbb	= ゴーストバトル  25勝  突破！
  1fbc	= 50cc  スターカップ  優勝！
  1fbd	= 100cc  スペシャルカップ  優勝！
  1fbe	= はやいスタッフゴースト  全32体  出現！
  1fbf	= Wi-Fi対戦  5000勝  突破！
  1fc0	= ゴーストバトル  100勝  突破！
  1fc1	= Wi-Fi対戦  250勝  突破！
  1fc2	/
  1fcc	= 50cc  レトログランプリの全カップ  ランク
	+ \u{f061}獲得！
  1fcd	= はやいスタッフゴースト  1体  出現！
  1fce	= Wi-Fi対戦  50勝  突破！
  1fcf	= ミラー  サンダーカップ  優勝！
  1fd0	= 50cc  このはカップ  優勝！
  1fd1	= 150cc  このはカップ  優勝！
  1fd2	= はやいスタッフゴースト  24体  出現！
  1fd3	= 50cc  スペシャルカップ  優勝！
  1fd4	= 150cc  レトログランプリの全カップ  ランク
	+ \u{f061}獲得！
  1fd5	= 150cc  サンダーカップ  優勝！
  1fd6	= 150cc  スターカップ  優勝！
  1fd7	= ８コースで  タイムアタックをした！
  1fd8	= ゴーストバトル  5勝  突破！
  1fd9	= ミラー  このはカップ  優勝！
  1fda	= 100cc  サンダーカップ  優勝！
  1fdb	= 100cc  Wiiグランプリの全カップ  ランク\u{f061}獲得！
  1fdc	= ミラー  スターカップ  優勝！
  1fdd	= 100cc  スターカップ  優勝！
  1fde	= はやいスタッフゴースト  12体  出現！
  1fdf	= ゴーストバトル  200勝  突破！
  1fe0	= ミラー  スペシャルカップ  優勝！
  1fe1	= 50cc  全カップ  トロフィー獲得！
  1fe2	= 100cc  全カップ  トロフィー獲得！
  1fe3	= Wi-Fi対戦  3000勝  突破！
  1fe4	= プレイ回数  \z{a02,1000000000}回  突破！
  1fe5	/
  2008	= 全体のきろく
  2009	= 好みのきろく
  200a	= フレンドとのきろく
  200b	= Wi-Fiのきろく
  200c	= その他のきろく
  2012	= 総合ランク
  2013	= 走行距離
  2014	= 総レース数
  2015	= 総バトル数
  2016	= Wiiハンドルの使用率
  2017	= ジャンプアクション回数
  2018	= よくつかう キャラクター
  2019	= よくつかう マシン     \040
  201a	= よくあそぶ コース     \040
  201b	= よくあそぶ ステージ   \040
  201c	= Wi-Fi  フレンドと  勝敗数
  201d	/
  201e	= ゴースト挑戦状を  おくった回数
  201f	= ゴースト挑戦状を  もらった回数
  2020	= VS レーティング（VR）
  2021	= Wi-Fi  VS  勝敗数
  2022	= バトルレーティング（BR）
  2023	= Wi-Fi  バトル  勝敗数
  2024	= 1位になった回数
  2025	= 1位を走っていた割合
  2026	= アイテムを当てた数
  2027	= アイテムを当てられた数
  2028	= ゴーストバトル  勝敗数
  2029	= 大会に参加した回数
  202a	/
  202b	/
  202c	/
  202d	/
  202e	/
  2044	= \z{802,110000}
  2045	= \z{a02,1000000000}
  2046	= \z{a02,1000000000} 回
  2047	= \z{a02,1000000000} 回
  2048	= \z{a02,1000000000} %
  2049	= \z{a02,1000000000} 回
  204a	= \z{802,110000}
  204b	= \z{802,110000}
  204c	= \z{802,110000}
  204d	= \z{802,110000}
  204e	= \z{a02,1000000000} 勝　\z{a02,1000010000} 敗
  204f	/
  2050	= \z{a02,1000000000} 回
  2051	= \z{a02,1000000000} 回
  2052	= \z{a02,1000000000} VR
  2053	= \z{a02,1000000000} 勝　\z{a02,1000010000} 敗
  2054	= \z{a02,1000000000} BR
  2055	= \z{a02,1000000000} 勝　\z{a02,1000010000} 敗
  2056	= \z{a02,1000000000} 回
  2057	= \z{a02,1000000000} %
  2058	= \z{a02,1000000000} 回
  2059	= \z{a02,1000000000} 回
  205a	= \z{a02,1000000000} 勝　\z{a02,1000010000} 敗
  205b	= \z{a02,1000000000} 回
  205c	/
  20d0	/
  20d1	/
  20d2	/
  20d3	/
  20d4	/
  20d5	= %lsさん\n
	+ \n
	+ おめでとうございます！\n
	+ すべてのカップのトロフィーを、\n
	+ みごと、獲得されました！\n
	+ \n
	+ ここにその栄誉を称え、記念写真を\n
	+ お送りいたします。\n
	+ \n
	+ ひきつづき、『マリオカートWii』を\n
	+ お楽しみください！
  20d6	= %lsさん\n
	+ \n
	+ おめでとうございます！\n
	+ すべてのクラスのグランプリを、\n
	+ みごと、制覇されました！\n
	+ \n
	+ ここにその栄誉を称え、記念写真を\n
	+ お送りいたします。\n
	+ \n
	+ ひきつづき、『マリオカートWii』を\n
	+ お楽しみください！
  20d7	/
  20d8	/
  20d9	/
  20da	/
  20db	/
  20dc	/
  20dd	/
  20de	/
  20df	/
  20e0	/
  20e1	/
  20e2	/
  20e3	/
  20e4	/
  20e5	/
  20e6	/
  20e7	/
  20e8	/
  20e9	/
  20ea	/
  20eb	/
  20ec	/
  20ed	/
  20ee	/
  20f8	/
  20f9	/
  20fa	/
  20fb	/
  20fc	/
  20fd	/
  20fe	/
  20ff	/
  2100	/
  2101	/
  2102	/
  2103	/
  2104	/
  2105	/
  2106	/
  2107	/
  2108	/
  2109	/
  210a	/
  210b	/
  210c	/
  210d	/
  210e	= 「100cc　グランプリ」（カート＆バイク混合）であそべるようになりました！\n
	+ \n
	+ %lsさんが\n
	+ 「100cc　全カップ」でトロフィーを獲得された成果です！\n
	+ \n
	+ おめでとうございます！
  210f	/
  2110	/
  2116	/
  2117	/
  2118	/
  2119	/
  211a	/
  211b	/
  211c	/
  211d	/
  211e	/
  211f	/
  2120	/
  2121	/
  2122	/
  2123	/
  2124	/
  2125	/
  2126	/
  212a	= 『マリオカートチャンネル』からのお知らせです。\n
	+ \n
	+ \z{802,200000}\n
	+ \n
	+ \n
	+ \n
	+ 【配信を停止するには】\n
	+ \n
	+ このお知らせは、\n
	+ 『マリオカートチャンネル』から\n
	+ お送りしています。\n
	+ \n
	+ 以後、お知らせを受け取りたくないお客様は、画面右上の配信停止ボタンをポイントしてAを押し、このチャンネルからの情報配信を停止するか、すべての情報配信を停止するかを選択してください。
  212b	= 『マリオカートチャンネル』からのお知らせです。\n
	+ \n
	+ \z{802,200000}\n
	+ \n
	+ \n
	+ \n
	+ 【配信を停止するには】\n
	+ \n
	+ このお知らせは、\n
	+ 『マリオカートチャンネル』から\n
	+ お送りしています。\n
	+ \n
	+ 以後、お知らせを受け取りたくないお客様は、画面右上の配信停止ボタンをポイントしてAを押し、このチャンネルからの情報配信を停止するか、すべての情報配信を停止するかを選択してください。
  212c	= %lsさんから、\n
	+ 「フレンドとうろく」のおさそいが\n
	+ 届きました！\n
	+ \n
	+ 『マリオカートWii』\n
	+ フレンドコード：%04d-%04d-%04d\n
	+ \n
	+ フレンドコードをお互い登録すると\n
	+ 遠く離れていても、一緒に、\n
	+ 『マリオカートWii』を遊ぶことが\n
	+ できるようになります。\n
	+ \n
	+ ぜひ、お楽しみください！
  212d	= %lsさんから、\n
	+ 「フレンドとうろく」のおかえしが\n
	+ 届きました！\n
	+ \n
	+ 『マリオカートWii』\n
	+ フレンドコード：%04d-%04d-%04d\n
	+ \n
	+ ＊フレンドリストに空きがある場合\n
	+ 　自動的に登録されます。\n
	+ \n
	+ フレンドコードをお互い登録すると\n
	+ 遠く離れていても、一緒に、\n
	+ 『マリオカートWii』を遊ぶことが\n
	+ できるようになります。\n
	+ \n
	+ ぜひ、お楽しみください。
  212e	/
  212f	/
  2130	/
  2131	/
  2132	/
  2133	/
  2134	/
  2138	/
  2139	/
  213e	/
  213f	/
  2140	/
  2141	/
  2142	/
  2143	/
  2144	/
  2145	/
  2146	/
  2147	/
  2148	/
  2149	/
  214a	/
  214b	/
  214c	/
  214d	/
  214e	/
  214f	/
  2150	/
  2151	/
  2152	/
  215c	/
  215d	/
  215e	/
  215f	/
  2160	/
  2161	/
  2162	/
  2163	/
  2164	/
  2165	/
  2166	/
  2167	/
  2168	/
  2169	/
  216a	/
  216b	/
  216c	/
  216d	/
  216e	/
  216f	/
  2170	/
  2171	/
  2172	/
  2173	/
  2174	/
  2175	/
  2176	/
  2177	/

2774 = さぁ、大会のはじまりです！\nマリオサーキットで他のマシンと\nレースをしながら最速タイムを\nめざしてください　タイムは\nなんどでも送信することができます
27a2 = マリオサーキットで他のマシンと\nレースをしながら最速タイムを\nめざしてください\nこんかいは　\c{green}Wiiハンドルげんてい\c{off}\n\c{green}カートげんてい\c{off}　のレースになります
2775 = GBAバトルコース3で\nゲートをじゅんばんに　くぐってください\nこの大会は　\c{green}Wiiハンドルげんてい\c{off}　です\n2Dマップを　しっかりみながら\nすばやくゲートを　くぐってください
2777 = キノコキャニオンをいつもと\n逆に走る\c{green}カートげんてい\c{off}の\nタイムアタックです\nどのルートを走ればいいのか？\nいろいろ ためしてみてください
2778 = ココナッツモールの　あちこちにちらばった\nコインをあつめてください\nコインは　お客さまの　落としもの！？\nすばやく　ひろってあげましょう
2779 = くらやみせまる　ゆうやみハウスで\nレースを開催しております\n\nこの大会は　\c{green}Wiiハンドルげんてい\c{off}　です！\nかれいなハンドルさばきを見せてください
277a = 64DKジャングルパークでのレースです\nジャングルのにんきもの　ドンキーコングと\nディディーコングがバイクに乗ってバナナを\nばらまきます　バナナをうまくかわして\nゴールしてください
277b = あおい海が　まぶしい　ノコノコみさきで\nゲートをじゅんばんに　くぐってください\nゲートのばんごうに要注意\nじゅんばんをまちがえると\nくぐったことに　なりません
277c = ボムへいカーだらけの　64まてんろうで\n\c{green}Wiiハンドルげんてい\c{off}のタイムアタックです\nボムへいカーと　いっしょに移動している\nアイテムボックスをつかえば\nタイムをちぢめる　ことができます
277d = SFCマリオサーキット3で　きれいにならんだ\nコインをあつめてください\nこんかいは\c{green}カートげんてい\c{off}の大会です\nダッシュキノコの　つかいどころが\nいいタイムをだすのポイントになります
277e = サンボが巨大化した！？\nドッスンさばくに　あらわれた\n巨大なサンボとのバトルを開催中です\nサンボの　こうげきをよけつつ\n3回たおしてください
277f = ルイージサーキットで　\c{green}Wiiハンドルげんてい\c{off}\n\c{green}カートげんてい\c{off}　のレースを開催中です\nアイテムなしの実力勝負\nスリップストリームを使えば\nじゅうぶん１位も　ねらえます
2780 = メイプルツリーハウスで　おちばに　かくれた\nコインをあつめてください\nハナチャンも　コインが　だいすき！？\nぶつからないように気をつけて
2781 = ６４マリオサーキットで\nタイムアタックを開催中です\nでてくるアイテムはパワフルキノコのみ！\nショートカットも　やりほうだい！
2782 = ワリオこうざんにハナチャンとうじょう！\nあなたの行く手をさえぎるハナチャンを\nかわしながらのタイムアタックです\nハナチャンは抜いたとおもったら　すぐに\n抜きかえそうと　するので気をつけて！
2783 = DKスノーボードクロスで\nゲートをじゅんばんに　くぐってください\nそらにうかぶゲートがポイント\nジャンプアクションで\nクールに　くぐりぬけてください
2784 = キノピオファクトリーを　いつもと\n逆に走るタイムアタックです\nうまく飛びこえられないところは\nジャンプアクションを出してみてください
2785 = ファンキースタジアムにちらばる\nコインをすべて　あつめてください\nコインをとる　じゅんばんがポイント\n2Dマップをしっかりみながら\nルートをじっくり考えて
2786 = こんかいはブロックひろばでの\nタイムアタックです　めいろのように\nいりくんだ　みちから　じぶんだけの\nルートを見つけてください\nオイルやクリボーにも気をつけて
2787 = GBAクッパキャッスル3で\nゲートをじゅんばんに　くぐってください\nジャンプ台ではジャンプアクションを\nかっこよく　きめてください\nこんかいは\c{green}カートげんてい\c{off}の大会です
2788 = SFCバトルコース4で\nコインあつめを開催中です\nめいろのようなコースの中で\nどのルートが早いのでしょうか
2789 = 64クッパキャッスルで　ほねクッパと\n１対１の勝負です！\nほねクッパの はく炎に気をつけながら\nゴールをめざしてください\nこんかいは\c{green}カートげんてい\c{off}の大会です
27a3 = 64クッパキャッスルで　ほねクッパと\n１対１の勝負です！\nほねクッパの はく炎に気をつけながら\nゴールをめざしてください
278a = GCワルイージスタジアムで\nゲートくぐりを開催中です\nジャンプアクションをワイルドにきめて\nスタジアムのみんなをおどろかせてください
278b = ワンワンとチョロプーだらけの\nDSピーチガーデンでタイムアタックをします\nダッシュキノコはワンワンがもっています\nたくさんとって　さいこうのタイムを\nめざしてください
278c = 夕日にはえるルイージサーキットで\nレースを開催中です\nなぜかボムへいカーも走っているので\n爆発に　まきこまれないよう\n気をつけてください
278d = ワンワンルーレットに　ちらばる\nコインを　ぜんぶ　あつめてください\nアイテムをうまく使えば　きれいに\nあつめることができます\nこんかいは　\c{green}Wiiハンドルげんてい\c{off}　です
278e = グラグラかざんをいつもと逆に走る\n\c{green}カートげんてい\c{off}　のタイムアタックです\nあらたにコースに　おかれた\nジャンプ台　ここではバッチリ\nジャンプアクションをきめてください
2776 = スーパーマリオギャラクシーから\nトゲベーゴマンとうじょう！\nトゲベーゴマンとのバトルを開催中です\n落ちるステージに注意しつつ\nトゲベーゴマンをたおしてください\n\n\c{red2}(この大会は再作成されたものです)\c{off}
278f = スーパーマリオギャラクシーから\nトゲベーゴマンとうじょう！\nトゲベーゴマンとのバトルを開催中です\nトゲベーゴマンの中には\nにげるヤツも　いるようです
27a4 = スーパーマリオギャラクシーから\nトゲベーゴマンとうじょう！\nトゲベーゴマンとのバトルを開催中です\nトゲベーゴマンの中には\nにげるヤツも　いるようです
2790 = GCピーチビーチにちらばる\nすべてのコインをあつめてください\nコインをまもるポイハナをよけつつ\nすばやく　あつめてください
2791 = キノコがはえた　DSヨッシーフォールズで\n\c{green}Wiiハンドルげんてい\c{off}  のレースを開催中です\nとにかく落っこちないように\nキノコをじょうずに  わたってください
2792 = いつも平和なヘイホービーチ・・・と\nそこに　あらわれたカニ！カニ！！カニ！！！\n\nアイテムをいくつか用意したので　うまく\n使いこなして　たおしてください
2793 = クッパからの　ちょうせんじょう！\nワナやしかけがふえて　さらに\nむずかしくなったクッパキャッスル\nでのタイムアタックです
2794 = GCクッキーランドで　\c{green}バイクげんてい\c{off}の\nレースを開催しております\nベビィたちとバイクで勝負！\n分かれ道が勝負のカギです
2795 = GCマリオサーキットが敵だらけ！？\nいつもより　ちょっとむずかしい\nタイムアタックです\nとくにパックンフラワーは要注意\nギリギリのラインをみきわめてください
2796 = デイジーサーキットめいぶつ８の字コーナー\nここに　ならべたゲートを　じゅんばんに\nくぐりぬけてください\nかれいなコーナリングを　おうえんしている\nみんなに　みせつけられますか？
2797 = 太陽がてりつけるカラカラいせきで\nレースを開催しております\nアイテムはキノコのなかまだけ\nつかいどころはサンボが\nおしえてくれる！？
2798 = ワンワンだらけになったレインボーロードで\n\c{green}カートげんてい\c{off}のタイムアタックです\nワンワンの行く先をよそうするのが\nこうりゃくのポイントです
2799 = DSサンサンさばくの　あちこちにいる\nサンボをやっつけてください\nなんしゅう走っても　だいじょうぶ\nあきらめずにチャレンジしてください
279a = めいろのようなアクアリゾートで\nタイムアタックをしてください\nルートさがしが　こんかいのポイント\nいつもおなじルートとはかぎらない！？
279b = GCDKマウンテンで\nゲートをじゅんばんに　くぐってください\nこの大会は　\c{green}Wiiハンドルげんてい\c{off}　です\nエキサイティングなゲートくぐりを\nおたのしみください
279c = ペンギンだらけの　64シャーベットランドで\nレースを開催しております\nかわいいペンギンが　たくさんいますが\nよそみ運転は　いけませんよ
279d = マリオサーキットのクリボーを\nたおしながら　すすんでください\nコース内にある全てのアイテムを\nうまく使いこなしてください\nこんかいは\c{green}カートげんてい\c{off}の大会です
279e = ルイージサーキットで\c{green}バイクげんてい\c{off}\n\c{green}Wiiハンドルげんてい\c{off}　のレースを開催中です\nアイテムなしの実力勝負\nスリップストリームを使えば\nじゅうぶん１位も ねらえます
279f = GCピーチビーチにキノコが生えた！？\nトランポリンキノコに乗って３周する\nタイムアタックです\nまずはオートドリフトがオススメ！
27a0 = ムーンリッジ＆ハイウェイでの\nタイムアタックです\n車のながれが　いつもとちがう！？\nながれにさからって　かけぬけてください
27a1 = いつもにぎやかな　DSモンテタウンで\nタイムアタックを開催中です\nきばことクリボーに要注意\nいきどまりのルートもあります

27f0 = 大会
27d8 = タイムアタック
27da = タイムアタック
27d9 = VS
27db = 敵をたおす
27dc = ボスとバトル
27dd = ボスとVS
27de = コインあつめ
27df = ゲートくぐり
27f1 = 大会 %02d
2800 = お使いのコントローラでは\nきろくを保存できませんが\nよろしいですか？
2801 = ゴーストの保存
2802 = ゴーストをSDカード上に保存しますか？
2803 = 保存する
2804 = 最速タイムのみ保存する
2805 = 保存しない
2806 = ゴーストの保存機能は\n［ 保存する ］\nに設定されています。\n\nゴーストはRiivolutionでの\n起動のみ保存されます
2807 = ゴーストの保存機能は\n［ 最速タイムのみ保存する ］\nに設定されています。\n\nゴーストはRiivolutionでの\n起動のみ保存されます
2808 = ゴーストの保存機能は\n［ 保存しない ］\nに設定されています。\n\nゴーストはRiivolutionでの\n起動のみ保存されます

 18697	/
 18698	/
 18699	/
 1869a	/
 1869b	/
 1869c	/
 1869d	/
 1869e	/

